大南正編列傳初集卷之三十。	ĐẠI NAM CHÍNH BIÊN LIỆT TRUYỆN Tập đầu, quyển 30.
臣聞,天子之兵,有征而戦,言莫敢較也.	Thần nghĩ rằng: quân của thiên tử chỉ đi đánh kẻ dưới phạm lỗi, chứ không đi đánh nhau để tranh giành, vì là không ai dám đọ sức.
如使越人徼幸以逆執事;厮輿之卒,有一不僃而㱕,雖得越王之首臣猶�之.	Nếu người việt làm liều chống lại quan chấp sự mà trong quân kiếm củi đẩy xe có kẻ nào không về đủ thì dù có chém được đầu của việt vương, thần cũng lấy làm xấu hổ.
陛下已九州爲家,生民皆爲臣妾;夷狄之地,何足以爲一日之間,而煩汗馬之勞乎?	Bệ hạ lấy chín châu làm nhà, sinh dân đều là thần thiếp cả, đất của di địch nào có đủ làm nhàn hạ được một ngày mà phải phiền đến ngựa đổ mồ hôi mệt nhọc?
言王道甚大而遠方𢙇之也.	Ý nói vương đạo rất lớn mà phương xa mến phục.
臣安窃恐,将吏之以十萬之師爲一. 使之任也".	Thần an trộm lo rằng tướng lại đem mười vạn quân đi chỉ làm cái trách nhiệm của một người Sứ giả mà thôi. "
是時,漢兵位踰嶺,閩越王𭛁兵拒險.	khi ấy quân nhà hán chưa qua đèo, mân việt vương đã phát binh giữ chỗ hiểm để chống cự.
其弟餘善乃𭁈宗族謀曰:"王以擅𭛁兵擊南越不請,故漢𭛁兵來誅.	Em mân việt vương là dư thiện cùng với người trong họ bàn nhau rằng: " vì vương tự tiện đem quân đánh nam việt không xin phép nhà hán, cho nên nhà hán đem quân đến đánh.
漢兵眾強,即幸而勝之,後來益多終滅國而止,不如殺王以謝漢,願罷其兵".	Quân hán nhiều và mạnh, dù may mà mình có đánh được chăng nữa sau họ lại kéo sang nhiều hơn, chung quy nước cũng bị diệt, chi bằng giết vương để tạ lỗi với nhà hán mà xin bãi binh ".
遂殺王郢,使使奉其頭𦤶王恢.	Bèn giết sính, sai sứ đem đầu nộp cho vương khôi.
恢乃以便宜按兵,吿韓安國,而使使奉其頭馳吿.	Khôi liền cho đóng quân lại, bảo cho hàn an quốc, rồi sai sứ mang đầu sính chạy về báo.
漢帝使荘助來諭意于王.	Vua hán sai trang trợ sang tỏ ý cho vua biết.
王頓首曰:"天子爲寡人興兵誅閩越,雖死無以報德".	Vua rập đầu nói: " thiên tử vì quả nhân đem quân giết vua mân việt, quả nhân dù chết cũng không báo đáp được ân đức ấy ".
遣太子󰞿齊入質.	Mới sai thái tử là anh tề sang nhà hán làm con tin.
因謂助曰:"國新被寇,使者行矣,寡人方日夜整装入見天子". 助遠,群臣咸諫于.	Nhân bảo trợ rằng: " nước tôi mới bị cướp, sứ giả cứ về trước, quả nhân đang ngày đêm sắm sửa hành trang để vào triều kiến thiên tử ".
王曰:"漢兵誅郢欲以警動我越.	Trợ về rồi, bầy tôi đều can Vua rằng: " quân nhà hán giết sính là có ý muốn cảnh cáo nước việt ta.
且先帝有言事漢期無失禮要之,不可以設好語入見,不得復亡國之勢也.	Vả lại tiên đế đã nói thờ nhà hán cốt không thất lễ thì thôi. Tóm lại chớ nên tin lời nói khéo, vào chầu vua hán thì không về được nữa, đó là thế mất nước đấy. "
[釋義:歐泄歐𭁈嘔同泄,弋制反,亦吐也,臨存以尊適甲曰臨,恤問曰存不頓一㦸頓𭁈鈍通;罷勌勌𭁈倦同;厮輿厮折薪者,輿主駕者,皆賎役之人一日之間,間音閉. 説好語説讀曰悅].	vua bèn nói thác là có bệnh rồi không sang yết kiến nữa.
五六月,旱録因大赦.	Tháng năm, tháng sáu, hạn hán, soát tù, đại xá.
秋七月,雨,免田租之半.	Mùa thu, tháng bảy, mưa.
九月,庚辰朔,日食.	Tháng chín, ngày canh thìn, mồng một, nhật thực.
冬十月,占城來貢.	Mùa đông, tháng mười, chiêm thành sang cống.
十二月,黄龍見.	Tháng mười hai, rồng vàng hiện.
癸卯十二年,[宋淳祐三年]春正月,令諸路官修寫民簿,. 其二月完畢. 二月,營城内,號龍鳳城,及重修國子監.	Mùa xuân, tháng giêng, lệnh cho quan các lộ làm sổ dân đinh, Hạn trong hai tháng phải xong. Tháng hai, đắp thành nội, gọi là thành long phượng và trùng tu quốc tử giám.
夏六月,命員外郎張疋󰠣都衛府諸獄.	Mùa hạ, tháng sáu, sai viên ngoại lang trương thất xét xử các án ở đô vệ phủ.
秋八月,大水决大羅城.	Mùa thu, tháng tám, nước to, vỡ thành đại la.
冬十月,選補諸軍部調役. 甲辰十三年,[宋淳祐四年]春正月,分命文臣任天下諸府路.	Mùa đông, tháng mười, chọn người bổ sung vào các quân bộ?
凣十二處府有知府路有通判州有漕運使副主漕運使.	Mùa xuân, tháng giêng, sai các văn thần chia nhau đi trị nhậm các phủ, lộ trong nước gồm mười hai nơi. Phủ có tri phủ, lộ có thông phán, châu có tào vận sứ và phó sứ, giữ việc vận chở.
定制律諸格.	Định các cách thức về luật hình.
三月,授馮佐周父馮佐湯為左街道籙,爵㪚郎.	Tháng ba, cho phùng tá thang, cha phùng tá chu, làm tả nhai đạo lục, tước tả lang.
時凣王侯授僧道官則呼左街,盖不使齒諸朝列.	Bấy giờ các vương hầu bổ quan tăng đạo thì gọi la tả nhai, vì không thể cho đứng vào hàng ngũ các quan trong triều.
左街僧道之極品.	Tả nhai là phẩm cao nhất của tăng đạo.
非通. 練本教則不妄與.	Không phải là người thông thạo Tôn giáo của mình thì không được dự càn.
今以命佐湯是優禮也.	Nay đem phong cho tá thang là lễ ưu hậu lắm.
冬十月,定百官内外任及宿衛官俸.	Mùa đông, tháng mười, qui định lương bổng cho các quan làm việc trong ngoài và các quan túc vệ.
乙巳十四年,[宋淳祐五年]春正月,帝幸應豊行宫[今建興府是也.	Mùa xuân, tháng giêng, vua ngự hành cung ứng phong (nay là phủ kiến hưng).
秋八月,大水决清潭堤. 冬十二月,暴風大雨三日,江水漲溢蛇魚多死.	Mùa thu, tháng tám, nước to, vỡ đê thanh đàm.
丙午十五年,[宋淳祐六年元定宗貴由元年,]春二月,定諸軍選,壮者充四天,四聖,四神軍. 天長,龍興等路為内天屬,天剛,章聖,供辰.	Mùa đông, tháng mười hai, gió to, mưa lớn ba ngày, nước sông tràn ngập, rắn, cá chết nhiều. Bính ngọ, năm thứ mười lăm, (tống thuần hựu năm thứ sáu, nguyên định tông, quý do năm thứ nhất). Chọn người khoẻ mạnh sung làm quân tứ thiên, tứ thánh, tứ thần.
其餘充禁衛,禁軍.	Còn các lộ (có sách chép là phong đội). Tháng ba, xét duyệt các quan văn, võ, trong ngoài.
團隊[一作鋒隊三月,閲文武内外各宫. 十五年一閲定,十年加爵一級,十五年加聀一等,其官鈌員則以正兼副,正副亦鈌則以他官轄之,待考满始授本聀是.	Cứ mười lăm năm một lần xét duyệt, mười năm thăng tước một cấp, mười lăm năm thăng chức một bậc.
時,國家無事,人民樂康,居官者久於其聀,在舘閣者十年出身,在省局者十五年出身,宰相則擇宗室賢䏻有道藝通詩書者為之.	Bấy giờ quốc gia vô sự, nhân dân yên vui, người làm quan giữ mãi một chức, người ở quán, các mười năm mới được xuất thân, người ở sảnh, cục mười lăm năm mới được xuất thân, chức tể tướng thì chọn người hiền năng trong tôn thất, có đạo đức, tài nghệ, thông hiểu thi thư thì cho làm.
夏五月,龍隊山塔頽.	Mùa hạ, tháng năm, tháp trên núi long đội đổ.
秋七月,定大比進士以七年為凖.	Mùa thu, tháng bảy, định lệ thi tiến sĩ, cứ bảy năm một khoa. Mùa đông, tháng mười hai, cho trương mông làm ngự sử đại phu (mông người thanh hoá, có hùng tài).
冬十二月,以張𫎇為御史大夫. 𫎇清化,有䧺才,丁未十六年,宋淳祐七年,春,二月,大比取士.	Đinh mùi, năm thứ mười sáu, (tống thuần hựu năm thứ bảy).
賜狀元阮. 𣇄耳之築自此始.	Ban cho nguyễn hiền đỗ trạng nguyên Đắp đê quai vạc là bắt đầu từ đó.
夏,四月,造臨波橋於真教禪寺,跨玩蟾池抵景靈宫太清觀極其奢麗六. 六月,順天皇后崩,追尊顯慈順天皇太后.	Mùa hạ, tháng bốn, làm cầu lâm ba ở chùa chân giáo, qua hồ ngoạn thiềm, đến quán thái thanh cung cảnh linh, cực kỳ tráng lệ. Tháng sáu, hoàng hậu thuận thiên băng, truy tôn là hiển tử thuận thiên hoàng thái hậu.
遣風水者適觀天下山川有王氣之處,用方術厭勝之,如清化𮢶婆醴江,椎昭舶山之類其塞溪港開阡陌不可殚紀.	Sai các nhà phong thuỷ đi xem khắp núi sông cả nước, chỗ nào có vượng khí đế vương thì dùng phép thuật để trấn yểm, như các việc đào sông bà lễ đục núi chiêu bạc ở thanh hoá; còn lấp các khe ở kênh mở đường ngang dọc thì nhiều không kể xiết.
從陳守度之言也.	Đó là làm theo lời trần thủ độ.
史臣吳士連曰:自有此天地,已有此江山,而天氣之運,聖人之生有其數焉.	Sứ thần ngô sĩ liên nói: từ khi có trời đất này, thì đã có núi sông này, mà khí trời chuyển vận, thánh nhân ra đời, đều có số cả.
天氣自此而南,終於南則復北.	Khí trời từ bắc chuyển xuống nam, hết nam rối lại quay về bắc.
聖人百年而生,盈其數而復始.	Thánh nhân trăm năm mới sinh, đủ số lại trở lại từ đầu.
以黎輔陳為御史中相,知三司院事.	Cho lê phụ trần làm ngự sử trung tướng, tri tam ty viện sự.
秋七月,以明字劉免為清化府路安撫使.	Mùa thu, tháng bảy, cho minh tự lưu miễn làm an phủ sứ phủ lộ thanh hoá.
辛亥二十年,[二月以後,元豊元年,宋淳祐十一年,元憲宗𫎇哥元年]春二月,改元元豊元年.	Tân hợi, năm thứ hai mươi (từ tháng hai về sau là nguyên phong năm thứ nhất, tống thuần hựu năm thứ mười một, nguyên hiến tông mông kha năm thứ nhất).
上親寫銘文賜諸皇子教以忠,孝,和,遜,温,良,恭,儉.	Vua tự viết bài minh ban cho các hoàng tử, dạy về trung, hiếu, hoà, tốn, ôn, lượng, cung, kiệm.
以天城長公主嫁忠誠王.	Gả trưởng công chúa thiên thành cho trung thành vương (không rõ tên).
]安生王子國峻奪之.	Con trai yên sinh vương là quốc tuấn cướp lấy.
公主㱕于國峻.	Công chúa về với quốc tuấn.
是月,十五日,帝設大會七日夜合䯻圖,及百戲縱朝也,遊觀,欲令天城與忠誠,合䯻先遣天城公主居仁道王第[因道王乃忠誠王父.	Ngày mười lăm tháng ấy, vua mở hội lớn bảy ngày đêm, bày các tranh về lễ kết tóc và nhiều trò chơi cho người trong triều ngoài nội đến xem, ý muốn cho công chúa thiên thành là lễ kết tóc với trung thành vương.
]國峻欲求配而無由,夜間乃潜入. 城公主所居通之.	Trước đó, vua cho công chúa thiên thành đến ở trong dinh nhân đạo vương (nhân đạo vương là cha trung thành vương). Quốc tuấn muốn lấy công chúa thiên thành, nhưng không là Chỗ ở của công chúa thông dâm với nàng.
瑞婆公主[太宗姊,國峻姑養國峻為子.	Công chúa thuỵ bà (chị ruột của thái tông, cô của quốc tuấn, nuôi quốc tuấn làm con) liền đến gõ cửa điện cáo cấp.
]隨叩殿門告急,閽者馳奏. 帝問其故,瑞婆曰:不意國峻狂妄夜入天城所居.	Người coi cửa vội vào tâu. Vua hỏi có việc gì, thuỵ bà trả lời: " không ngờ quốc tuấn ngông cuồng càn rỡ, đang đêm lẻn vào chỗ thiên thành, nhân đạo đã bắt giữ hắn rồi, e sẽ bị hại, xin bệ hạ rủ lòng thương, sai người đến cứu " vua vội sai nội nhân đến dinh nhân đạo vương.
至,寂然,遂入天城所居,見國峻在焉.	Đến nơi, thấy yên lặng, bèn vào chỗ thiên thành, thì thấy quốc tuấn đã ở đấy.
仁道方知之.	Nhân đạo bấy giờ mới biết chuyện.
明日瑞婆進生金十盤,奏曰:急遽不䏻供僃禮物.	Hôm sau, thuỵ bà dâng mười mâm vàng sống, tâu rằng: " vì vội vàng nên không sắm được đủ lễ vật ".
帝不得已以天城公主下嫁國峻,以應天田二千頃還忠誠王聘禮.	Vua bắt đắc dĩ phải gả công chúa thiên thành cho quốc tuấn, lấy hai nghìn khoảnh ruộng ở phủ ứng thiên để hoàn lại sính vật cho trung thành vương.
史臣吳士連曰:王姬下嫁必使同姓諸侯主之.	Sử thần ngô sĩ liên nói: con gái vua lấy kẻ bề dưới tất phải sai chư hầu cùng họ đứng ra làm chủ hôn Theo lễ phải thế.
禮也. 太宗以天城公主下嫁忠誠王,而公主㱕于興道王,婚姻不正甚矣.	Thái tông đem thiên thành công chúa gả xuống cho trung thành vương, nhưng công chúa lại về với hưng đạo vương, việc hôn nhân rất là bất chính.
然則是禮也無主之者󰊹,掌禮𡸈容無主.	Thế thì lễ cưới này không ai đứng chủ ư?
盖帝於夫婦之道不正,故其臣子效之也.	Vì vua đã bất chính trong đạo vợ chồng, cho người làm tôi con cũng bắt chước.
且,婚姻不於異姓而於同姓,惟陳氏為,然失禮之中失禮焉.	Vả lại, hôn nhân không lấy người khác họ mà lấy người cùng họ, thì chỉ có nhà trần làm thế.
帝賜宴内殿,群臣皆預及醉,坐者皆起攔手而𰙔.	Vua ban yến ở nội điện, các quan đều dự.
御史中相[後改中尉]陳周普隨人攔手然不他𰙔但云:史官𰙔云爾,史官𰙔云爾.	Ngự sử trung tướng (sau đổi là trung uý) trần chu phổ cũng dang tay theo mọi người, nhưng không hát câu gì khác, chỉ nói: " sử quan ca rằng, sử quan ca rằng ".
]槌行酒令則愈麄矣.	Sau này, trong yến tiệc, có người đội mo nang, cầm dùi làm tửu lệnh thì lại càng thô bỉ lắm.
史臣吳士連曰:觀此雖見當時軍臣同樂,不拘禮法,亦風俗之简,質然無節矣. 御史諍臣聀當䋲紏不言,則己乃與之同流惡在其為朝廷綱紀哉?	Sử thần ngô sĩ liên nói: xem thế đủ thấy, tuy bấy giờ vua tôi cùng vui, không gò bó vào lễ pháp, cũng là điều giản dị, chất phát của phong tục, nhưng không còn chừng mực gì nữa. Hữu tử nói: " biết được hoà đồng rồi hoà đồng, nhưng không lấy lễ mà tiết chế, thì cũng không thể làm được " ngự sử là bề tôi giữ việc can ngăn, chức phận là phải uốn nắn, đã không nói thì thôi, lại còn vào hùa với họ thì kỷ cương của triều đình để đâu?
夏,四月,安生王柳卒,年四十一加大王,王.	Mùa hạ, tháng bốn, yên sinh vương liễu mất, thọ bốn mươi mốt tuổi, gia phong đại vương. Phạm kính ân mất (kính ân là thái uý quan nội hầu của triều lý cũ).
[敬恩舊李朝太尉䦕内侯. ]壬子元豊二年,[宋淳祐十三年]春正月,帝親征占城,命欽天大王日皎為留守.	Mùa xuân, tháng giêng, vua thân đi đánh chiêm thành, sai khâm thiên đại vương nhật hiệu làm lưu thủ.
占城自李氏衰弱,常以輕舟. 剽掠沿海居民. 帝即位,懷之,以德遣使徃諭,雖常入貢,而復乞故地,且有窺覦之意.	Chiêm thành từ khi nhà lý suy yếu, thường đem thuyền nhẹ Đến cướp bóc dân cư ven biển. Vua lên ngôi, lấy đức vỗ về, sai sứ sang dụ, tuy họ có thường sang cống, nhưng lại đòi xin lại đất cũ, và có ý dòm ngó.
帝怒,故有親征之役.	Vua giận, nên có việc thân chinh này.
冬十二月,獲占城主妻布耶羅,及其臣妾,人民而還[或云獲占城主布耶羅,非也.	Mùa đông, tháng mười hai, bắt được vợ của chúa chiêm thành là bố da la và nhiều thần thiếp, nhân dân của y rồi về.
若,果然文休作史記何不引與擒乍斗並稱哉?	Nếu quả như thế thì lê văn hưu làm sử ký sao không dẫn để ca ngợi cùng với việc bắt được sạ đẩu.
今從孚先為是.	Nay theo phu tiên là phải).
癸丑三年,[宋寶祐元年]夏四月,以欽天大王日皎為太尉.	Mùa hạ, tháng bốn, cho khâm thiên đại vương nhật hiệu làm thái uý.
六月立國學院,塑孔子,周公,亞聖,書七十二賢像奉事. 秋八月,立講武堂.	Đắp tượng khổng tử, chu công và á thánh (mạnh tử), vẽ tranh bảy mươi hai người hiền để thờ. Mùa thu, tháng tám, lập giảng võ đường. Tháng chín, xuống chiếu vời nho sĩ trong nước đến quốc tử viện giảng tứ thư lục kinh.
九月,詔天下儒士詣國子院,講四書六經. 甲寅四年,[宋寶祐二年]夏五月,定宗室,文武百官,輿服.	Giáp dần, năm thứ bốn, (tống bảo hựu năm thứ hai).
騶從有差.	Theo thứ bậc khác nhau.
自宗室至五品官,皆得轎馬紙.	Từ tông thất cho đến quan ngũ phẩm đều được đi kiệu, ngựa và võng.
三品以上,雲頭青盖,四品至六品平頭轎. 五品以上,青盖,六七品皂紙盖,騶從多者千人,少者百人.	Tôn thất thì kiệu đầu đòn chạm phượng sơn son, tướng quốc thì kiệu đầu đòn chạm vẹt sơn đen, lọng tía; từ tam phẩm trở lên thì kiệu đầu đòn chạm mây, lọng xanh; từ tứ phẩm đến lục phẩm thì kiệu đầu đòn bằng dầu; ngũ phẩm trở lên thì lọng xanh; lục thất phẩm thì lọng giấy đen. Người theo hầu nhiều thì một nghìn người, ít thì một trăm người.
時,王侯多以手搏及獨行盗為勇.	Bấy giờ các vương hầu phần nhiều coi việc đánh nhau bằng tay không và một mình đi cướp là dũng cảm.
武威王唯[太宗之子,]亦為之.	Vũ uy vương duy (con thái tông) cũng làm thế.
一日,武威手搏於東步頭,帝微行見之曰:肥而晢者誰也,捉來以供使令.	Một hôm, vũ uy đánh nhau tay không ở đông bộ đầu, vua vi hành qua đấy trông thấy hỏi rằng: " người béo và trắng kia là ai, bắt lại đây để sai bảo ".
武威聞之乃迯.	Vũ uy nghe thế trốn mất.
六月,鬻官田每一靣錢五鏹,[時謂鏹為靣.	Tháng sáu, bán ruộng công, mỗi diện là năm quan tiền (bấy giờ gọi mẫu là diện), cho phép nhân dân mua làm ruộng tư.
冬十月,賜范應夢錢,使自閹入侍. 初帝夢出遊,見神人指一人謂曰:此人可為行遣.	Mùa đông, tháng mười, ban tiền cho phạm ứng mộng, bảo tự hoạn để vào hầu. Trước đó, vua nằm mơ đi chơi thấy thần nhân chỉ một người bảo vua: " người này có thể làm hành khiển ".
夢覺,不知何人.	Tỉnh dậy, không biết là người nào.
一日,朝󰰾幸城外,見一男子從學于城之南門,形貌酷似所夢人.	Một hôm tan buổi chầu, vua ngự ra ngoài thành, thấy một người con trai theo học ở cửa nam thành, hình dáng giống hệt người trong mộng, vua gọi đến hỏi, người đó ứng đối giống như những lời trong mộng.
欲授以行遣,而難之,仍賜錢四百鏹,使之自閹. 賜名應夢,後累遷為行遣.	Vua muốn trao cho chức hành khiển, nhưng thấy khó, mới cho bốn trăm quan tiền bảo tự hoạn, ban tên là ứng mộng. Sau này thăng dần đến chức hành khiển.
盖倣李朝用李常傑,李常憲舊例也.	Đó là bắt chước lệ cũ của triều lý, dùng lý thường kiệt và lý thường hiến vậy.
丁卯五年,[宋寶祐三年]春三月,命劉免培築清化名處河堤.	Mùa xuân, tháng hai, sai lưu miễn bồi đắp đê sông các xứ ở thanh hoá.
夏四月,選散官為諸路河堤正副使. 農𨻶.	Mùa hạ, tháng bốn, chọn tản quan làm hà đê chánh phó sứ các lộ.
督軍築堤岸决滆渠以防水旱.	Khi việc làm ruộng nhàn rỗi Thì đốc thúc quân lính đắp đê đập, đào mương ngòi đề phòng lụt, hạn.
皇弟六子日燏生.	Hoàng tử thứ sáu nhật duật sinh.
先是太清宫道士名甚為帝祈嗣,拜章畢,奏曰:上帝既𠃔章奏,即命昭文童子降生,住四紀矣. 已而後宫有娠,果生男两膊有文曰昭文童子,字頗明顯.	Đọc sớ xong tâu vua: " thượng đế đã y lời sớ tấu, sắp sai chiêu văn đồng tử giáng sinh, ở trần thế bốn kỷ ". Sau quả nhiên sinh con trai, hai cánh tay có chữ " chiêu văn đồng tử ", nét tử rất rõ, vì thế đặt hiệu là chiêu văn (tức là nhật duật). Đến năm bốn mươi tám tuổi, bị ốm hơn một tháng, các con ông làm chay, xin giảm tuổi thọ của mình để kéo dài tuổi thọ cho cha.
至四十八歳,卧病月餘. 道士拜章畢,起曰:上帝覧章笑曰:何乃恋俗久留乎. 然其子誠孝何𠃔再與二紀.	Đạo sĩ đọc sớ xong, đứng dậy nói: thượng đế xem sớ xong, cười bảo: " sao hắn quyến luyến trần trục muốn ở lại lâu thế, nhưng các con hắn thực lòng hiếu thảo, cũng đáng cho. Thôi cho thêm hai kỷ nữa ".
病乃瘳.	Bệnh liền khỏi.
後日燏卒,年七十七,則周六紀有五年矣.	Sau nhật duật mất, thọ bảy mươi bảy tuổi, thế là được đủ sáu kỷ lẻ năm năm.
史臣吳士連曰:道士𥬉嗣之事以為信然耶?	Sử thần ngô sĩ liên nói: việc đạo sĩ cầu tự, cho là đúng như thế chăng?
則天道遠不可得而.	Thì đạo trời xa, không thể biết được.
知以為不然耶?	Cho là không như thế chăng?
則誠心所感無遠而弗届.	Thì lòng thành cảm hoá, xa mấy mà chẳng tới được.
然道士於伏拜侯命之時,天或形於夢寐以告之也.	Song, khi đạo sĩ rạp lạy đợi mệnh trời, có lẽ trời hiện chiêm bao để bảo cho.
夫理數相倚,理生於數,數亦未水不生於理,命之脩短數也,心之孝誠理也.	Kể ra số và lý nương tựa lẫn nhau, lý sinh ra từ số, số cũng chưa bao giờ không sinh ra từ lý, mệnh dài ngắn là số, lòng hiếu thành là lý.
或曰:道士䏻攝性飛昇,愚未之信也.	Có người bảo rằng đạo sĩ có thể nắm tính mạng bay lên được, nhưng tôi không tin.
五月,種菴蘿五百丈[自洪洼至狗神𣇄耳.	Tháng năm, trồng năm trăm trượng toàn cây muỗm (suốt từ bến hồng đến đê quai vạc cẩu thần).
秋八月,大水,上遊西湖.	Mùa thu, tháng tám, nước to, vua ngự chơi hồ tây.
冬十月,幸天長府行宫.	Mùa đông, tháng mười, vua ngự đến hành cung phủ thiên trường.
丙辰六年,[宋寶祐四年]春二月,大比取士. 賜京状元陳.	Mùa xuân, tháng hai, mở khoa thi chọn kẻ sĩ.
國扐寨状元張燦榜眼,朱馨,探花郎陳淵太學生四十三名京人四十二名寨人一名,出身有差.	Ban cho trần Lấy đỗ thái học sinh bốn mươi ba người (kinh bốn mươi hai người, trại một người), xuất thân có thứ bậc khác nhau.
國𥘉,󰁮人,未分京寨中魁者,賜状元. 至是,分清化,乂安,為寨,故有京寨之别殿.	Hồi quốc sơ, cử người chưa phân kinh trại, người đỗ đầu ban cho trạng nguyên. Đến nay, chia thanh hoá, nghệ an làm trại, cho nên có phân biệt kinh trại.
閏三月,鑄鍾三百三十口. 夏,五月,雷震天安殿,又震太清宫,天尊像仆地折一指.	Tháng ba, nhuận, đúc ba trăm ba mươi quả chuông. Mùa hạ, tháng năm, sét đánh điện thiên an, lại đánh cung thái thanh, tượng thiên tôn gãy mất một ngán tay.
浚蘇歷江. 秋,七月,武成王尹挈家出亡宋.	Vét sông tô lịch. Mùa thu, tháng bảy, vũ thành vương doãn đem cả nhà trốn sang nước tống.
思明府土官黄炳執送㱕我,.	Thổ quan tư minh là hoàng bính bắt lại đưa trả cho ta.
尹安生王子,顯慈所生也,安生有釁,於國家,及顯慈崩,失勢,故亡之此國,帝賞炳金帛.	Yên sinh có hiềm khích với vua, đến khi hiển từ mất, bị thất thế, nên trốn sang nước tống).
由是,関隘,益加嚴謹.	Do đấy việc giữ phòng quan ải càng thêm nghiêm ngặt.
丁巳七年,宋寶祐五年,春,二月,黄炳挈家,詣闕進其女.	Đinh tỵ, năm thứ bảy, (tống bảo hựu năm thứ năm).
納之,󰀋為惠肃夫人.	Vua nhận, sách phong làm huệ túc phu nhân.
秋八月,㱕化寨主何屈驛奏,元使來.	Mùa thu, tháng tám, chủ trại quy hoá là hà khuất sai chạy trạm tâu là có sứ nguyên sang.
九月,詔左右将軍将水步軍禦邉,受國峻節制. 冬十一月,令天下脩繕噐械.	Tháng chín, xuống chiếu, lệnh tả hữu tướng quân đem quân thuỷ bộ ra ngăn giữ biên giới, theo sự tiết chế của quốc tuấn. Mùa đông, tháng mười một, lệnh truyền cả nước sắm sửa vũ khí.
十二月,十二日,元将兀良合䚟[多切]改犯平厲源.	Tháng mười hai, ngày mười hai, tướng nguyên ngột lương hợp đải xâm phạm bình lệ nguyên.
帝自将督戰,前󰱆矢石. 官軍少却,帝顧左右惟黎輔陳[即黎秦,]單騎出入賊陣,顔色自若.	Vua thân hành đốc chiến, xông pha tên đạn.
輔陳力諫曰:今陛下特一孤注耳,宜避之𡸈可輕信人言哉!	Quan quân hơi núng, vua ngoảnh trông tả hữu, chỉ có lê phụ trần (tức lê trần) một mình một ngựa, ra vào trận giặc, sắc mặt bình thản như không. Phụ trần cố sức can vua: " nay thì bệ hạ chỉ đánh một ván dốc túi thôi !
帝於是退,次瀘江.	Bấy giờ, vua mới lui quân đóng ở sông lô.
輔陳為殿,賊兵亂射. 輔陳以舟板翼之,得免. 虜勢甚盛,又退保天幕.	Quân giặc bắn loạn xạ, phụ trần lấy ván thuyền che cho vua khỏi trúng tên Phụ trần giữ phía sau. Hãy nên tạm lánh chúng, sao lại có thể dễ dàng tin lời người ta thế !
帝御小舟就太尉日皎船問計.	Vua ngự thuyền nhỏ đến thuyền thái uý nhật hiệu hỏi kế sách (chống giặc).
日皎方靠船,坐不䏻起,惟以手指點水寫入宋二字於船舷.	Nhật hiệu đương dựa mạn thuyền, cứ ngồi chứ không đứng dậy nổi, chỉ lấy ngón tay chấm nước viết hai chỉ " nhập tống " bảy trăm bảy mươi lên mạn thuyền.
帝問星罡軍何在?	Vua hỏi quân tinh cương ở đâu?
[星罡日皎所領軍.	(tinh cương là quân do nhật hiệu chỉ huy).
對曰臣:首未至地,陛下無煩他慮.	Nhật hiệu trả lời: " không gọi được chúng đến " vua lập tức dời thuyền đến hỏi thái sư trần thủ độ, thủ độ trả lời: " đầu thần chưa rơi xuống đất, bệ hạ đừng lo gì khác ".
史臣吳士連曰:日皎同姓大臣,冦至怯驛,無扞禦之策,又導其君以出寓之方,将焉用彼相哉? 二十四日,帝及太子御樓船,進軍東步頭逆戰,大破之.	Sử thần ngô sĩ liên nói: nhật hiệu là đại thần cùng họ với vua. Ngày hai mươi bốn, vua và thái tử ngự lâu thuyền, tiến quân đến đông bộ đầu, đón đánh, cả phá được quân giặc.
寨主何俸招集蛮人. 襲擊,又大破之.	Quân nguyên chạy trốn về, đến trại quy hoá, chủ trại là hà bổng chiêu tập người man Ra tập kích, lại cả phá bọn chúng.
時元人新取雲南,游兵畧之無攻取意,當時謂之𫢋賊.	Khi ấy, người nguyên mới lấy được vân nam, bọn du binh cướp đến, không có ý đánh chiếm, nên bây giờ người ta gọi chúng là " giặc phật ".
賊退,賜俸侯爵.	Giặc rút, ban cho bồng tước hầu.
免小校黄巨陀罪.	Tha tội cho tiểu hiệu hoàng cự đà.
初,帝賜左右食菴蘿,不及巨陀.	Trước kia có lần vua ban xoài cho những người hầu cận, cự đà không được ăn. Đến khi quân nguyên tới đông bộ đầu, cự đà ngồi thuyền nhẹ chạy trốn.
及元軍至東步頭,巨陀乘輕舟遁去. 至黄江,遇皇太子逆流而上,巨陀󰘌岸避之.	Đến hoàng giang gặp hoàng thái tử đi thuyền ngược lên, đà lánh sang bờ sông bên kia, thuyền chạy rất gấp.
船勢甚急,官軍大呼問:元軍何在?	Quan quân gọi lớn: " quân nguyên ở đâu ".
巨陀應曰:不知,汝等當問食菴蘿者.	Cự đà trả lởi: " không biết, đi mà hỏi những người ăn xoài ấy ".
至是,太子請寘之極刑以懲人臣之不忠者.	Đến đây, thái tử xin phép cự đà vào cực hình để răn những kẻ làm tôi bất trung.
帝曰:巨陀罪甘赤族,然古者有羊斟不預羊肉至敗鄭師.	Vua nói: " cự đà tội đáng giết cả họ, song đời xưa đã có chuyện dương châm không được ăn thịt dê, đến nỗi làm quân nước trịnh bị thua.
