淮阴侯韩信者，淮阴人也。	Hoài Âm hầu Hàn Tín, người Hoài Âm.
高祖已从豨军来，至，见信死，且喜且怜之，问：“信死亦何 言？”吕后曰：“信言恨不用蒯通计。”高祖曰：“是齐辩士 也。”乃诏齐捕蒯通。	Cao tổ từ chỗ quân của Hy về, tới nơi, thấy Tín chết, vừa mừng vừa thương, hỏi: “Tín chết có nói gì không?” Lã hậu đáp: “Tín nói hối hận vì không theo kế của Khoái Thông.” Cao tổ nói: “Đó là biện sĩ nước Tề.” Bèn hạ chiếu cho Tề bắt Khoái Thông.
蒯通至，上曰：“若教淮阴侯反乎？”对 曰：“然，臣固教之。	Khoái Thông đến, hoàng thượng hỏi: “Ngươi dạy Hoài Âm hầu làm phản hả?” Đáp rằng: “Vâng, thần có dạy.
竖子不用臣之策，故令自夷於此。	Thằng nhãi ấy không theo kế của thần, cho nên bị diệt đến mức ấy.
如彼竖子用 臣之计，陛下安得而夷之乎！”上怒曰：“亨之。”通曰：“嗟乎， 冤哉亨也！”上曰：“若教韩信反，何冤？”对曰：“秦之纲绝而维 弛，山东大扰，异姓并起，英俊乌集。	Nếu thằng nhãi ấy dùng kế của thần, bệ hạ sao diệt được?” Hoàng thượng giận nói: “Nấu nó!” Thông nói: “Chao ôi, bị nấu oan quá!” Hoàng thượng hỏi: “Ngươi dạy Hàn Tín làm phản, oan nỗi gì?” Thông đáp: “Mối giềng nhà Tần đứt rồi bung ra, Sơn Đông đại loạn, các họ cùng nổi lên, bậc anh tuấn tụ hội như quạ đậu.
秦失其鹿，天下共逐之， 於是高材疾足者先得焉。	Tần mất con hươu, thiên hạ cùng tranh đuổi, như thế ai tài cao nhanh chân thì bắt được trước.
蹠之狗吠尧，尧 非不仁，狗因吠非其主。	Chó của Đạo Chích cắn đế Nghiêu, không phải Nghiêu không có lòng nhân, chó cắn vì không phải chủ mình.
当是时，臣唯独知韩信，非知陛下也。	Lúc bấy giờ, thần chỉ biết Hàn Tín, không biết tới bệ hạ.
且天 下锐精持锋欲为陛下所为者甚众，顾力不能耳。	Và những kẻ cầm mũi giáo, muốn làm nên nghiệp như bệ hạ làm vốn rất đông, chỉ là sức không làm nổi thôi.
又可尽亨之邪？”高 帝曰：“置之。”乃释通之罪。	Có thể nấu hết được họ không?” Cao để nói: “Thả hắn.” Bèn tha tội cho Khoái Thông.
太史公曰：吾如淮阴，淮阴人为余言，韩信虽为布衣时，其志与 众异。	Thái sử công bàn rằng: Ta đến Hoài Âm, người Hoài Âm nói với ta, Hàn Tín tuy lúc còn hàn vi, chí hướng đã khác người thường.
其母死，贫无以葬，然乃行营高敞地，令其旁可置万家。	Mẹ Tín chết, nghèo không có gì mai táng, nhưng vẫn đặt mộ mẹ chỗ cao rộng, khiến bên cạnh có thể đặt được vạn nhà.
余视 其母冢，良然。	Ta xem mộ mẹ ông ta, quả nhiên là vậy.
假令韩信学道谦让，不伐己功，不矜其能，则庶几 哉，於汉家勋可以比周、召、太公之徒，後世血食矣。不务出此，而 天下已集，乃谋畔逆，夷灭宗族，不亦宜乎！君臣一体，自古所难。	Giả sử khiến Tín học lối khiêm nhượng của Đạo gia, không cậy mình có công, không kiêu vì mình có tài, ngõ hầu công của Hàn Tín đối với nhà Hán có thể sánh với các ông Chu công, Thiệu công, Thái công, đời sau tế cũng không dứt.
相国深荐，策拜登坛。沈沙决水， 拔帜传餐。与汉汉重，归楚楚安。三分不议，伪游可叹。国学网站	Hàn Tín lại không như thế, thiên hạ đã yên định, hãy còn mưu phản nghịch, bị diệt cả họ, chẳng cũng phải sao!
