张仪者，魏人也。	Trương Nghi người nước Ngụy.
陈轸者，游说之士。与张仪俱事秦惠王，皆贵重，争宠。张仪恶 陈轸於秦王曰：“轸重币轻使秦楚之间，将为国交也。	Trần Chẩn Trần Chẩn là kẻ sĩ du thuyết, cùng Trương Nghi phụng sự Tần Huệ vương, đều được quý trọng, tranh giành sủng ái, Trương Nghi nói xấu Trần Chẩn với Tần vương: “Chẩn coi trọng của cải, xem nhẹ đi sứ giữa Tần và Sở, vốn hai nước có quan hệ bang giao.
今楚不加善於 秦而善轸者，轸自为厚而为王薄也。	Nay Sở không thêm thân Tần mà thân Chẩn, Chẩn toan tính cho bản thân nhiều, nghĩ đến đại vương lại ít.
且轸欲去秦而之楚，王胡不听 乎？”王谓陈轸曰：“吾闻子欲去秦之楚，有之乎？”轸 曰：“然。”王曰：“仪之言果信矣。”轸曰：“非独仪知之也，行 道之士尽知之矣。	Vả Chẩn muốn bỏ Tần sang Sở, đại vương có nghe việc ấy chăng?” Tần vương hỏi Trần Chẩn: “Ta nghe nói ông muốn bỏ Tần sang Sở, có việc ấy chăng?” Chẩn đáp: “Có.” Tần vương nói: “Lời Nghi nói quả nhiên chính xác.” Chẩn nói: “Không phải chỉ riêng Trương Nghi biết, những kẻ sĩ hành đạo đều biết.
昔子胥忠於其君而天下争以为臣，曾参孝於其亲而 天下原以为子。	Xưa kia Tử Tư trung thành với vua mà thiên hạ tranh nhau làm bề tôi, Tăng Sâm giữ đạo hiếu với cha mẹ mà thiên hạ nguyện làm con.
故卖仆妾不出闾巷而售者，良仆妾也；出妇嫁於乡曲 者，良妇也。	Cho nên bán kẻ hầu mà kẻ hầu chẳng cần rời làng đã có người mua về, đó là người hầu tốt; đuổi vợ ra khỏi nhà mà người vợ đó lại lấy người ở trong làng, đó là người vợ tốt.
今轸不忠其君，楚亦何以轸为忠乎？	Nay Chẩn bất trung với đại vương, sao Sở lại cho Chẩn là trung thành được?
忠且见弃，轸不之 楚何归乎？”王以其言为然，遂善待之。	Và kẻ trung thần mà bị ruồng bỏ, Chẩn không đến Sở thì biết về đâu?” Tần vương cho lời Chẩn là phải, bèn đối đãi tử tế.
居秦期年，秦惠王终相张仪，而陈轸奔楚。	[Chẩn] ở Tần một năm, Tần Huệ vương rốt cuộc vẫn cho Trương Nghi làm Tướng quốc, Trần Chẩn liền sang Sở.
楚未之重也，而使陈 轸使於秦。	Sở chưa trọng dụng, sai Thần Chẩn đi sứ sang Tần.
过梁，欲见犀首。	Qua đất Lương, Chẩn muốn yết kiến Tê Thủ.
犀首谢弗见。轸曰：“吾为事来， 公不见轸，轸将行，不 得待异日。”犀首见之。	Tê Thủ từ tạ không gặp.
陈轸曰：“公何好饮也？”犀首曰：“无事 也。”曰：“吾请令公厌事 可乎？”曰：“柰何？”曰：“田需约诸侯从 亲，楚王疑之，未信也。	Chẩn nói: “Tôi có việc mới đến, sao ngài không gặp Chẩn, Chẩn sẽ đi, không đợi đến hôm khác đâu.” Tê Thủ gặp, Trần Chẩn hỏi: “Sao ngài thích uống rượu vậy?” Tế Thủ đáp: “Rỗi việc thôi.” Hỏi: “Tôi sẽ làm cho ngài có nhiều việc, được không?” Tê Thủ hỏi: “Làm sao?” Đáp: “[Tướng quốc nước Ngụy] Điền Nhu hợp tung các nước chư hầu, Sở vương nghi ngờ, chưa tin ông ta.
公谓於王曰：‘臣与燕、赵之王有故，数使 人来，曰：“无事何不相见”，原谒行於王。’	Ông hãy nói với Sở vương: 'Thần và vua các nước Yên, Triệu vốn có qua lại, mấy lần sứ thần đến, nói không có việc gì sao không gặp, xin đại vương cho thần lên đường.'
王虽许公，公请毋多 车，以车三十乘，可陈之於庭，明言之燕、赵。”燕、赵客闻之，驰 车告其王，使人迎犀首。	Đại vương tuy đồng ý với ông, ông cũng đừng xin nhiều xe, chỉ dùng ba mươi cỗ xe, bày hàng trước sân, nói phao lên là sẽ sang Yên và Triệu.” Yên và Triệu nghe tin, chạy xe đến báo vua nước họ, sai người nghiênh đón Tê Thủ.
楚王闻之大怒，曰：“田需与寡人约，而犀 首之燕、赵，是欺我也。”怒而不听其事。	Sở vương hay tin cả giận, nói: “Điền Nhu có ước định với quả nhân, thế mà Tê Thủ lại đến Yên, Triệu, ấy là lừa dối ta vậy.” Vì giận nên không nghe kiến nghị [của Điền Nhu] nữa.
齐闻犀首之北，使人以事 委焉。	Tề nghe nói Tê Thủ lên phía bắc, sai người đem chính sự ủy thác cho.
犀首遂行，三国相事皆断於犀首。	Tê Thủ bèn lên đường, việc của Tướng quốc ba nước đều do Tê Thủ định đoạt.
轸遂至秦。	Chẩn bèn sang Tần.
韩魏相攻，期年不解。	Hàn, Ngụy đánh nhau, một năm chưa dứt.
秦惠王欲救之，问於左右。左右或曰救之 便，或曰勿救便，惠王未能为之决。	Tần Huệ vương muốn tiếp cứu, bèn hỏi tả hữu, người nói cứu là hơn, người nói không cứu thì hơn, Huệ vương chưa quyết được.
陈轸適至秦，惠王曰：“子去寡 人之楚，亦思寡人不？”陈轸对曰：“王闻夫越人庄舄乎？”王 曰：“不闻。”曰：“越人庄舄仕楚执珪，有顷而病。	Đúng lúc Trần Chẩn đến Tần, Huệ vương hỏi: “Ông bỏ quả nhân sang Sở, có nhớ gì quả nhân không?” Trần Chẩn đáp: “Đại vương nghe chuyện Trang Tích nước Việt chưa?” Vua đáp: “Chưa nghe.” Chẩn nói: “Trang Tích người Việt, làm quan đến tước cầm ngọc khuê nước Sở, không lâu liền đổ bệnh.
楚王曰：‘舄 故越之鄙细人也，今仕楚执珪，贵富矣，亦思越不？’	Sở vương nói: 'Tích vốn người quê mùa nước Việt, nay làm quan đến tước cầm ngọc khuê ở Sở, giàu sang rồi, còn nghĩ đến Việt không?'
中谢 对曰：‘凡人之思故，在其病也。	Trung tạ đáp: 'Phàm khi ốm, người ta hay nghĩ về chuyện đã qua.
彼思越则越声，不思越则 楚声。’	Trang Tích nhớ Việt thì nói tiếng nước Việt, không nhớ Việt thì nói tiếng nước Sở.'
使人往听之，犹尚越声也。	Sai người đến nghe xem, Trang Tích đang nói tiếng nước Việt.
今臣虽弃逐之楚，岂能无秦声 哉！”惠王曰：“善。	Nay thần tuy bị đuổi sang Sở, há có thể không nói tiếng Tần ư?” Huệ vương nói: “Phải.
今韩魏相攻，期年不解，或谓寡人救之便，或 曰勿救便，寡人不能决，原子为子主计 之馀，为寡人计之。”陈轸对曰：“亦尝有以 夫卞庄子刺虎闻 於王者乎？	Nay Hàn và Ngụy đánh nhau, đầy năm chưa dứt, có người bảo nên cứu, người nói không nên cứu, quả nhân chưa quyết, mong ngài tính kế cho chủ mình rồi, hãy tính kế giúp quả nhân.” Trần Chẩn đáp: “Có ai từng đem chuyện Biện Trang tử đâm hổ nói với đại vương chưa?
庄子欲刺虎，馆竖子止之，曰：‘两虎方且食牛，食甘必 争，争则必斗，斗则大者伤，小者死，从伤而刺之，一举必有双虎之 名。’	Biện Trang tử muốn đâm hổ, đứa nhỏ trong quán ngăn lại, nói: “Hai con hổ định ăn thịt con trâu, miếng ngon ắt phải tranh nhau, tranh nhau tất phải đánh nhau, đánh nhau khiến con lớn bị thương, con nhỏ bị chết, chỉ còn con bị thương thì đâm nó, ra tay một lần được cả hai hổ?
卞庄子以为然，立须之。	Biện Trang tử cho là phải, đứng chờ.
有顷，两虎果斗，大者伤，小者死。	Lát sau, hai hổ quả nhiên đấu nhau, con lớn bị thương, con nhỏ bị chết.
庄子从伤者而刺之，一举果有双虎之功。	Biện Trang tử nhằm con bị thương mà đâm, ra tay một lần được hai con hổ.
今韩魏相攻，期年不解，是 必大国伤，小国亡，从伤而伐之，一举必有两实。	Nay Hàn và Ngụy đánh nhau, đầy năm chưa thôi, như thế ắt nước lớn bị thương, nước nhỏ thì mất, nhắm nước bị thương mà đánh, ra tay một lần giành được hai nước.
此犹庄子刺虎之类 也。	Việc đó cũng như Biện Trang tử đâm hổ vậy.
臣主与王何异也。”惠王曰：“善。”卒弗救。	Chủ của thần và đại vương có gì khác đâu.” Huệ vương nói: “Phải.” Thế rồi không cứu.
大国果伤，小国亡，秦兴兵而伐，大剋之。	Nước lớn quả nhiên bị thương, nước nhỏ diệt vong, Tần dấy binh tiến đánh, chế ngự đại cục.
此陈轸之计也。	Đó là kế của Trần Chẩn vậy.
犀首者，魏之阴晋人也， 名衍，姓公孙氏。	Công Tôn Diễn Tê Thủ, người Âm Tấn nước Ngụy, tên Diễn, họ Công Tôn.
与张仪不善。	Ông không thiện cảm với Trương Nghi.
张仪为秦之魏，魏王相张仪。	Trương Nghi vì Tần mà đến Ngụy, Ngụy vương phong làm Tướng quốc.
犀首弗利，故令人谓韩公叔 曰：“张仪已合秦魏矣，其言曰‘魏攻南 阳，秦攻三川’。	Tê Thủ thấy bất lợi, nên sai người nói với Công Thúc nước Hàn: “Trương Nghi đã liên kết Tần và Ngụy, ông ta nói: 'Ngụy đánh Nam Dương, Tần đánh Tam Xuyên.'
魏王所以贵张子者，欲得韩地也。	Ngụy vương sở dĩ quý trọng Trương Nghi, vì muốn được đất Hàn vậy.
且韩之南阳已举 矣，子何不少委焉以为衍功，则秦魏之交可错矣。	Vả Nam Dương của Hàn đã mất, sao ngài không giao cho để Diễn lập công, như thế quan hệ giữa Tần và Ngụy có thể sứt mẻ.
然则魏必图秦而弃仪，收韩而相衍。”公叔以为便，因委 之犀首以为功。	Vậy Ngụy ắt đánh Tần mà bỏ Nghi, nhận Hàn cho Diễn làm Tướng quốc.” Công Thúc cho là tiện, nhân đó giao cho Tê Thủ để lập công.
果相魏。张仪去。	Quả nhiên [Tê Thủ] được làm Tướng quốc nước Ngụy, Trương Nghi phải rời đi.
义渠君朝於魏。	Vua nước Nghĩa Cừ vào chầu nước Ngụy.
犀首闻张仪复相秦，害之。	Tê Thủ nghe nói Trương Nghi lại làm Tướng quốc nước Tần, đâm ra ghen ghét.
犀首乃谓义渠君 曰：“道远不得复过， 请谒事情。”曰：“中国无事， 秦得烧掇焚于 君之国；有事，秦将轻使重币事君 之国。”其後五 国伐秦。会陈轸谓秦王曰：“义渠君者，蛮夷之贤君也，不如赂之以 抚其志。”秦王曰：“善。”	Tê Thủ bèn nói với vua Nghĩa Cừ: “Đường xa không trở lại được, vậy xin nói rõ sự tình.” Rồi bảo: “Trong nước vô sự, Tần đốt phá quấy nhiễu nước ngài; trong nước xảy ra chuyện, Tần nhẹ đường sứ giả mà trọng đường tài vật để thờ vua nước ngài.” Sau, năm nước đánh Tần, Trần Chẩn bảo Tần vương: “Vua nước Nghĩa Cừ là vua hiền trong các nước man di, chẳng bằng hối lộ để ông ta yên tâm.” Tần vương nói: “Phải.” Bèn đem nghìn xấp gấm vóc, trăm mỹ nữ tặng vua Nghĩa Cừ.
乃以文绣千纯， 妇女百人遗义渠君。	
义渠君致群臣而谋曰：“此公孙衍 所谓邪？”乃起兵袭秦，大败秦人李伯之 下。	Vua Nghĩa Cừ triệu quần thần đến bàn: “Đây chính là điều Công Tôn Diễn từng nói chăng?” Bèn dấy binh tập kích Tần, cả phá quân Tần ở dưới lý Bá.
张仪已卒之後，犀首入相秦。尝佩五国之相印，为约长。	Sau khi Trương Nghi chết, Tê Thủ làm Tướng quốc nước Tần, từng đeo ấn tín Tướng quốc năm nước, làm trưởng minh ước.
太史公曰：三晋多权变之士，夫言从衡彊秦者大抵皆三晋之人 也。	Thái sử công bàn rằng: Tam Tấn nhiều kẻ sĩ quyền biến, những kẻ hợp tung, liên hoành, làm mạnh nước Tần đại để đều người Tam Tấn.
夫张仪之行事甚於苏秦，然世恶苏秦者，以其先死，而仪振暴 其短以扶其说， 成其衡道。要之，此 两人真倾危之士哉！仪未遭时，频被困辱。	Xét lẽ, việc Trương Nghi làm còn quá đáng hơn Tô Tần, nhưng người đời lại ghét Tô Tần, vì ông ta chết trước, Nghi còn vạch rõ sở đoản của Tô Tần đặng phụ giúp cho thuyết của mình, hoàn thành đường lối liên hoành.
及相秦惠，先韩後蜀。连衡齐魏， 倾危诳惑。陈轸挟权，犀首骋欲。如何三晋，继有斯德。国学网站	Nói tóm lại, hai người thực là những kẻ sĩ đảo điên nguy hại cho nước vậy!
