李斯者，楚上蔡人也。	Lý Tư người đất Thượng Sài nước Sở.
陛下不图，臣恐其为变 也。”二世曰：“何哉？	Bệ hạ không tính trước, thần e ông ta sẽ sinh biến.” Nhị thế nói: “Tại sao?
夫高，故宦人也，然不为安肆志，不以危易 心，絜行脩善，自使至此，以忠得进，以信守位，朕实贤之，而君疑 之，何也？	Xét lẽ, Cao vốn là hoạn quan, nhưng không vì yên ổn mà chí buông tuồng, không vì nguy biến mà dễ đổi dạ, đức hạnh liêm khiết, trau dồi điều thiện, tự đạt đến chức này, nhờ lòng trung được thăng tiến, nhờ điều tín giữ được địa vị, trẫm thực cho ông ta hiền năng mà ông lại ngờ, tại sao vậy?
且朕少失先人，无所识知，不习治民，而君又老，恐与天 下绝矣。	Và khi trẫm nhỏ tuổi mất cha, không có hiểu biết, không quen cách trị dân, còn ông lại già, sợ rằng mất với thiên hạ rồi.
朕非属赵君，当谁任哉？	Trẫm không cậy Triệu quân, biết tín nhiệm ai đây?
且赵君为人精廉彊力，下知人情， 上能適朕，君其勿疑。”李斯曰：“不然。	Hơn nữa Triệu quân là người liêm khiết gắng sức, dưới biết dân tình, trên vừa ý trẫm, ông đừng nghi ngờ.” Lý Tư đáp: “Không phải vậy.
夫高，故贱人也，无识於 理，贪欲无厌，求利不止，列势次主，求欲无穷，臣故曰殆。”二世 已前信赵高，恐李斯杀之，乃私告赵高。	Cao vốn là kẻ hèn hạ, không hiểu đạo lý, tham dục không chán, cầu lợi không thôi, thế lực chỉ sau bệ hạ, ham muốn vô cùng, thần vì thế cho là nguy.” Nhị thế trước đã tin Triệu Cao, sợ Lý Tư giết y, bèn nói riêng với Triệu Cao.
高曰：“丞相所患者独高， 高已死，丞相即欲为田常所为。”於是二世曰：“其以李斯属郎中 令！”赵高案治李斯。	Cao nói: “Người mà Thừa tướng lo lắng chỉ có mình Cao, Cao chết đi, Thừa tướng liền muốn làm việc mà Điền Thường muốn.” Nhị thế nói: “Hãy đem Lý Tư giao cho Lang trung lệnh xử trí!” Triệu Cao tra xét Lý Tư.
李斯拘执束缚，居囹圄中，仰天而叹曰：“嗟 乎，悲夫！	Lý Tư bị bắt trói, giam vào trong ngục, ngẩng mặt lên trời than rằng: “Ôi, đau đớn thay!
不道之君，何可为计哉！	Sao bàn mưu tính kế với vua vô đạo được!
昔者桀杀关龙逢，纣杀王子比 干，吴王夫差杀伍子胥。	Xưa kia, Kiệt giết Quan Long Phùng, Trụ giết vương tử Tỷ Can, Ngô vương Phù Sai giết Ngũ Tử Tư.
此三臣者，岂不忠哉，然而不免於死，身死 而所忠者非也。	Ba bề tôi đó, há không trung ư, nhưng đều không tránh được cái chết, thân chết mà người mình trung lại không đáng để trung.
今吾智不及三子，而二世之无道过於桀、纣、夫差， 吾以忠死，宜矣。	Nay trí ta không bằng ba vị kia, còn sự vô đạo của Nhị đế hơn cả Kiệt, Trụ, Phù Sai, ta vì trung mà chết là phải lắm.
且二世之治岂不乱哉！	Vả Nhị thế cai trị há không loạn được ư?
日者夷其兄弟而自立也，杀 忠臣而贵贱人，作为阿房之宫，赋敛天下。	Trước đây, giết anh em rồi tự lập làm vua, giết tôi trung khiến kẻ hèn thành sang, dựng cung A Phòng, vơ vét thuế khóa thiên hạ.
吾非不谏也，而不吾听 也。	Không phải ta không can ngăn, mà vua không nghe lời ta.
凡古圣王，饮食有节，车器有数，宫室有度，出令造事，加费而 无益於民利者禁，故能长久治安。	Phàm thánh vương xưa, ăn uống có tiết chế, xe cộ đồ dùng có hạn mức, cung thất có chừng mực, ban bố mệnh lệnh thi hành sự việc, thêm tổn phí mà không lợi thêm cho dân thì cấm, cho nên có thể trị yên lâu dài.
今行逆於昆弟，不顾其咎；侵杀忠 臣，不思其殃；大为宫室，厚赋天下，不爱其费：三者已行，天下不 听。	Nay bạo ngược với anh em, không bận tâm đến nguy cơ; giết hại trung thần, không cần xét đến tai họa; dựng cung thất to lớn, thu thuế khóa nặng nề, không tiếc tổn phí. Đã làm ba việc đó, thiên hạ không nghe theo.
今反者已有天下之半矣，而心尚未寤也，而以赵高为佐，吾必见 寇至咸阳，麋鹿游於朝也。”於是二世乃使高案丞相狱，治罪，责斯与子由谋反状，皆收捕宗 族宾客。	Nay kẻ làm phản đã chiếm nửa thiên hạ, mà lòng vẫn chưa tỉnh, còn lấy Triệu Cao làm người phò tá, ta ắt thấy giặc cướp đến Hàm Dương, hươu nai nhởn nhơ trong triều vậy.” Thế là Nhị thế bèn sai Cao xét án Thừa tưởng trong ngục, trị tội, định Lý Tư cùng con là Do tội danh mưu phản, bắt hết tông tộc và môn khách.
赵高治斯，榜掠千馀，不胜痛，自诬服。	Triệu Cao trừng trị Tư, đánh hơn nghìn gậy, Tư không chịu nổi đau, đành vờ nhận tội.
斯所以不死者，自 负其辩，有功，实无反心，幸得上书自陈，幸二世之寤而赦之。	Tư sở dĩ không chết, vì tự phụ giỏi biện bác, có công, sự thực không có lòng làm phản, may được dâng thư tự thanh minh, họa chăng Nhị thế tỉnh ngộ mà tha cho.
李斯 乃从狱中上书曰：“臣为丞相治民，三十馀年矣。	Lý Tư từ trong ngục viết thư dâng lên rằng: “Thần làm Thừa tướng, trị dân hơn ba chục năm.
逮秦地之陕隘。	Thần đến Tần khi đất còn chật hẹp.
先 王之时秦地不过千里，兵数十万。	Thời tiên vương, đất Tần không quá nghìn dặm, quân binh có mấy chục vạn.
臣尽薄材，谨奉法令，阴行谋臣， 资之金玉，使游说诸侯，阴脩甲兵，饰政教，官斗士，尊功臣，盛其 爵禄，故终以胁韩弱魏，破燕、赵，夷齐、楚，卒兼六国，虏其王， 立秦为天子。	Thần dốc tài mọn, kính cẩn thi hành pháp lệnh, ngầm sai mưu thần, cấp vàng ngọc cho họ, sai du thuyết chư hầu, ngầm sửa soạn giáp binh, sửa sang chính giáo, cho dũng sĩ làm quan, đề cao bậc công thần, thưởng tước cao lộc hậu, cho nên cuối cùng uy hiếp được Hàn, làm suy yếu Ngụy, phá tan Yên, Triệu, san phẳng Tề, Sở, chiếm trọn sáu nước, bắt sống vua họ, lập Tần làm thiên tử.
罪一矣。	Đó là tội thứ nhất.
地非不广，又北逐胡、貉，南定百越，以见秦 之彊。	Đất không phải không rộng, thế mà bắc đuổi người Hồ người Lạc, nam định yên Bách Việt để tỏ sự hùng mạnh của Tần.
罪二矣。	Đó là tội thứ hai.
尊大臣，盛其爵位，以固其亲。	Đề cao đại thần, khiến họ được tước cao lộc hậu, củng cố sự thân cận của họ.
罪三矣。	Đó là tội thứ ba.
立社稷，脩 宗庙，以明主之贤。	Dựng lập đền xã tắc, tu sửa lại tông miếu, tỏ rõ sự hiền năng của nhà vua.
罪四矣。	Đó là tội thứ tư.
更剋画，平斗斛度量文章，布之天下， 以树秦之名。	Thay đổi chữ viết, thống nhất đấu hộc, các đồ đo lường, văn vẻ pháp độ, ban bố thiên hạ, gây dựng danh tiếng của Tần.
罪五矣。	Đó là tội thứ năm.
治驰道，兴游观，以见主之得意。	Làm đường xe ngựa, tổ chức du ngoạn, nhằm thỏa ý của chúa.
罪六矣。	Đó là tội thứ sáu.
缓 刑罚，薄赋敛，以遂主得众之心，万民戴主，死而不忘。	Khoan hình phạt, nhẹ thuế khóa, toại ý nhà vua, được lòng dân chúng, muôn dân đội ơn chúa, chết cũng không quên.
罪七矣。	Đó là tội thứ bảy.
若 斯之为臣者，罪足以死固久矣。	Làm tôi như Tư, tội vốn đáng chết từ lâu.
上幸尽其能力，乃得至今，原陛下察 之！”书上，赵高使吏弃去不奏，曰：“囚安得上书！”赵高使其客十馀辈诈为御史、谒者、侍中，更往覆讯斯。	May hoàng thượng cho dốc sức lực, được sống đến nay, mong bệ hạ xét cho!” Thư dâng lên, Triệu Cao sai viên lại vứt đi, không trình tấu, nói: “Kẻ tù tội đâu được phép dâng thư?” Triệu Cao sai hơn mười môn khách của mình giả làm Ngự sử, yết giả, thị trung, thay nhau đến thẩm vấn Tư.
斯更以 其实对，辄使人复榜之。	Tư đem tình thực trả lời, Cao lại sai người đến đánh.
後二世使人验斯，斯以为如前，终不敢更 言，辞服。	Sau, Nhị thế sai người đến thẩm vấn Tư, Tư nghĩ lần này như các lần trước, không dám thay đổi lời khai, nhận mình có tội.
奏当上，二世喜曰：“微赵君，几为丞相所卖。”及二世 所使案三川之守至，则项梁已击杀之。	Án thành tấu lên, Nhị thế mừng nói: “Không có Triệu quân, suýt nữa đã bị Thừa tướng bán đứng.” Đến khi Nhị thế sai sứ đến xét án của Quận thú Tam Xuyên thì Hạng Lương đã đánh giết Lý Do.
使者来，会丞相下吏，赵高皆 妄为反辞。	Sứ giả về, đúng lúc Thừa tướng bị giao cho ngục lại xử trí, Triệu Cao đều nói bừa là cha con Lý Tư làm phản.
二世二年七月，具斯五刑，论腰斩咸阳市。	Nhị thế năm thứ hai, tháng Bảy, định tội Lý Tư bị xử ngũ hình, đem chém ngang lưng ở chợ Hàm Dương.
斯出狱，与其中子俱 执，顾谓其中子曰：“吾欲与若复牵黄犬俱出上蔡东门逐狡兔，岂可 得乎！”遂父子相哭，而夷三族。	Lúc Tư được giải khỏi ngục, cùng con giữa đều bị trói, Tư quay lại nói với con: “Ta muốn cùng con dắt con chó vàng ra cửa đông Thượng Cái đuổi bắt con thỏ khôn lanh, há được nữa không?” Cha con cùng khóc, bị giết ba họ.
李斯已死，二世拜赵高为中丞相，事无大小辄决於高。	Lý Tư chết rồi, Nhị thế phong Triệu Cao làm Trung thừa tướng, việc bất kể lớn nhỏ đều do Cao quyết định.
高自知权 重，乃献鹿，谓之马。	Cao tự biết mình quyền lớn, bèn dâng con hươu, nói đó là ngựa.
二世问左右：“此乃鹿也？”左右皆曰“马 也”。	Nhị thế hỏi tả hữu: “Đây là hươu à?” Tả hữu đều nói: “Ngựa ạ.” Nhị thế sợ, cho mình loạn trí, bèn triệu quan Thái bốc, ra lệnh bói quẻ.
二世惊，自以为惑，乃召太卜，令卦之，太卜曰：“陛下春秋 郊祀，奉宗庙鬼神，斋戒不明，故至于此。	Thái bốc nói: “Bệ hạ xuân thu tế giao, phụng thờ tông miếu quỷ thần, trai giới không thành, cho nên dẫn đến việc đó.
可依盛德而明斋戒。”於 是乃入上林斋戒。	Có thể dựa vào thịnh đức mà tỏ rõ sự trai giới.” Thế rồi bèn vào trai giới trong vườn Thượng Lâm.
日游弋猎，有行人入上林中，二世自射杀之。	Hằng ngày đi săn, có người vào vườn Thượng Lâm, Nhị thế tự tay bắn chết.
赵高 教其女婿咸阳令阎乐劾不知何人贼杀人移上林。	Triệu Cao giao con rể là Hàm Dương lệnh Diêm Lạc đàn hặc rằng không biết ai bắn chết người rồi dời vào vườn Thượng Lâm.
高乃谏二世曰：“天 子无故贼杀不辜人，此上帝之禁也，鬼神不享，天且降殃，当远避宫 以禳之。”二世乃出居望夷之宫。	Cao bèn can Nhị thế rằng: “Thiên tử vô cớ giết người vô tội, là điều cấm kỵ của thượng đế, quỷ thần không hưởng lễ, trời sẽ giáng tai ương, cần lánh xa cung để tránh họa.” Nhị thế bèn ra ở cung Vọng Di.
留三日，赵高诈诏卫士，令士皆素服持兵内乡，入告二世 曰：“山东群盗兵大至！”二世上观而见之，恐惧，高既因劫令自 杀。	Được ba ngày, Triệu Cao giả chiếu triệu vệ sĩ đến, lệnh vệ sĩ mặc trang phục màu trắng, cầm binh khí trỏ vào trong, rồi báo với Nhị thế: “Quân trộm cướp ở Sơn Đông kéo đến rồi?” Nhị thế lên xem, trông thấy vậy, sợ hãi, Cao liền nhân đó bức Nhị thế tự sát.
引玺而佩之，左右百官莫从；上殿，殿欲坏者三。	Cao đeo ngọc tỷ của vua, tả hữu trăm quan không ai theo; Cao lên điện, điện mấy lần muốn sập.
高自知天弗 与，群臣弗许，乃召始皇弟，授之玺。	Cao tự biết trời không giúp, quần thần không theo, bèn triệu cháu của Thủy hoàng đến, trao ngọc tỷ cho.
子婴既位，患之，乃称疾不听事，与宦者韩谈及其子谋杀高。	Tử Anh lên ngôi, sợ Cao, bèn thác bệnh không nghe chính sự, cùng hoạn quan Hàn Đàm và người con mưu việc giết Cao.
高 上谒，请病，因召入，令韩谈刺杀之，夷其三族。	Cao lên điện yết kiến, thăm hỏi bệnh tình, Tử Anh cố ý triệu Cao vào, lệnh cho Hàn Đàm đâm chết, giết cả ba họ.
子婴立三月，沛公兵从武关入，至咸阳，群臣百官皆畔，不適。	Tử Anh lên ngôi được ba tháng, quân của Bái công từ Vũ Quan đánh vào, đến Hàm Dương, quần thần trăm quan đều phản, không đến.
子婴与妻子自系其颈以组，降轵道旁。	Tử Anh cùng vợ tự quấn dây trên cổ, đến hàng bên đình Chỉ Đạo.
沛公因以属吏。	Bái công nhân đó giao cho thuộc lại.
项王至而斩之。	Hạng vương đến rồi chém đầu Tử Anh.
遂以亡天 下。	Nhà Tần mất thiên hạ.
太史公曰：李斯以闾阎历诸侯，入事秦，因以瑕衅，以辅始皇， 卒成帝业，斯为三公，可谓尊用矣。	Thái sử công bàn rằng: Lý Tư với thân phận thôn quê đi khắp chư hầu, vào thờ Tần, nhân kẽ hở, được phò tá Thủy hoàng, cuối cùng giúp thành đế nghiệp, Tư làm quan tam công, có thể nói rất được trọng dụng vậy.
斯知六之归，不务明政以补主 上之缺，持爵禄之重，阿顺苟合，严威酷刑，听高邪说，废適立庶。	Tư biết yếu chỉ của Lục kinh, không chuộng việc làm sáng chính trị để bổ khuyết cho chúa thượng, nắm tước cao lộc hậu, a dua cẩu hợp, khiến uy thêm nghiêm, hình thêm thảm khốc, nghe lời gian tà của Cao, phế đích lập thứ.
诸侯已畔，斯乃欲谏争，不亦末乎！	Chư hầu đã phản, Tư muốn can ngăn chẳng cũng muộn sao!
人皆以斯极忠而被五刑死，察其 本，乃与俗议之异。不然，斯之功且与周、召列矣。鼠在所居，人固择地。	Người ta đều cho Tư hết mực trung mà bị giết bằng ngũ hành, xét sâu xa tận gốc, chẳng giống nghị bàn của thế tục.
斯效智力，功立名遂。置酒咸阳， 人臣极位。一夫诳惑，变易神器。国丧身诛，本同末异。国学网站	Nếu không phải thế, công lao của Tư có thể liệt cùng hàng Chu công, Thiệu công rồi.
