暹羅，古赤土國，後分爲二。一曰暹，一曰羅斛。	Khi xưa Xiêm La là nước Xích Thổ, sau chia làm 2 nước, một nước gọi là Xiêm, một nước là La Hộc.
若峻絕之，恐非朝廷講信修睦、不輕絕人之初意。	Nếu cự tuyệt đi sợ không phải là ý của triều đình là giữ điều tin, dốc hòa mục, không có khinh suất cự tuyệt ngư̖ ta.
但寵衫之罪，誠不可原。而彼反以爲功，爲之請。止此一事，自有不可恝然者。	Nhưng tội của tên Sủng Sam thực không thể tha thứ được, mà họ lại cho là công, xin tha cho, chỉ có việc đó, không thể bỏ mặc được.
請復令城臣詰折，俾他知所屈服，庶以正名義、明曲直，然後以禮接之，未爲晚也。」	Xin lại sai thành thần vặn hỏi để họ biết khuất phục, mới chính danh nghĩa, rõ được trái phải, rồi sau sẽ lấy lễ tiếp đãi cũng chưa muộn gì.
帝然之。命禮部員外郎阮有識等齎諭旨，往會城臣妥辦。	Vua cho là phải, sai Viên ngoại lang bộ Lễ là bọn Nguyễn Hữu Thức mang tờ dụ tới hội với thành thần mà làm cho thỏa đáng.
及還，奏言：「暹使情辭恭順，無有一毫抗梗之意。」	Khi trở về tâu nói: Sứ Xiêm lời lẽ kính thuận, không có ý chống cự chút nào.
帝曰：「彼旣心服，朕亦何求。」	Vua nói: Họ đã tâm phục, trẫm còn cần gì.
因謂羣臣曰：「暹之爲國，南鄰赤毛，西界緬甸，東則與我接壤。平日所以誇雄於西南諸國者，以有我爲在援耳。	Nhân bảo quần thần rằng: Nước Xiêm Nam giáp nước Xích Mao, Tây giáp nước Diến Điện, đồng thời cùng ta tiếp giáp bờ cõi, ngày thường sở dĩ khoe khoang hùng cường với các nước Tây Nam, là vì có ta làm viện trợ mà thôi.
今若構釁於我，兵端一開，則西南諸國乘而襲之於後，不亦危乎。	Nay nếu gây hấn với ta, thì việc binh đã gây ra, tất các nước Tây Nam nhân đó mà đánh úp ở mặt sau chẳng là nguy ư?
朕固知暹之不敢背我也。」	Trẫm vẫn biết nước Xiêm không dám bội bạc với dân ta đâu.
乃諭嘉定派送暹使來京。	Bèn dụ cho Gia Định phải đưa sứ Xiêm tới kinh.
旣至，宣召上殿。帝問之曰：「暹國與我情好旣絕，今復遣使來此何幹。」	Khi đến, cho triệu lên điện hỏi rằng: Nước Xiêm cùng với ta tình hiếu đã tuyệt, nay lại sai sứ sang đây có việc gì?
使者對曰：「佛王以暹與天朝世通鄰好，故遣陪臣致謝。」	Sứ giả thưa rằng: Phật vương cho nước Xiêm cùng với thiên triều đời đời không bỏ tình lân hiếu, nên sai bồi thần đến tạ.
帝曰：「曩者萬象與暹構隙，朕命官兵諭萬象，使之歸順于暹，亦好意也。乃暹將寵衫肆行殺戮，至五十餘人之多。	Vua nói: Trước đây, nước Vạn Tượng cùng với nước Xiêm gây hiềm khích, trẫm sai quan binh đến dụ nước Vạn Tượng bảo quy thuận với nước Xiêm cùng là ý tốt, thế mà tướng Xiêm là Sủng Sam càn dỡ giết chết đến hơn 50 người.
朕嘗遣使追問其事，佛王何不拏下寵衫，早正憲典，以存兩國之好乎。」	Trẫm thường sai sứ truy hỏi việc ấy, Phật vương sao không bắt tên Sủng Sam sớm chính pháp, để giữ hòa hiếu của hai nước ư?
使者對曰：「前者寵衫，疑是萬象扮做官兵以𠺱嚇暹人，故誤而殺之。	Sứ giả thưa rằng: Trước đây Sủng Sam ngờ là nước Vạn Tượng giả dạng làm quan binh, để hống hách người Xiêm, nên lầm mà giết đi.
今暹王爲此，使來請罪耳。」	Nay vua Xiêm vì thế mới sai sứ sang xin tội mà thôi.
帝曰：「萬象得罪於暹，暹王殺之，朕未嘗爲他庇護。至如寵衫，一裨將耳，妄開兩國之隙，罪莫大焉。而暹王爲之請解。然則佛王之臣子得罪於佛王，而人爲之請解，亦赦之乎。」	Vua nói: Nước Vạn Tượng có tội với nước Xiêm, vua Xiêm giết đi, trẫm chưa hề giúp hộ họ; đến như việc Sủng Sam là một tên kỳ tướng mà thôi, dám làm càn gây mối hiềm khích của hai nước, tội không gì lớn bằng, mà vua Xiêm vì hắn xin tha tội cho, thế thời những thần tử của Phật vương có tội với Phật vương, mà ta vì nó xin tha tội cho, thì vua Xiêm tha ư?
使者無以對。	Sứ giả không trả lời được.
帝復謂之曰：「交鄰有道，非徒爲外貌之禮也。	Vua lại bảo rằng: Việc giao hiếu với nước láng giềng phải có đạo lý, không phải chỉ có lễ ở ngoài mặt mà thôi.
我與暹相好，只爲緩急相助，榮辱相關。若夫外合中離，則情誼已疎，雖玉帛交贄，徒虛文耳，豈交鄰之道乎。	Nếu ngoài mặt thì hợp với nhau mà trong lòng thời lìa nhau, thì tình nghĩa đã sơ, dẫu có ngọc lụa đưa cho nhau làm tin, chỉ là hư văn thôi, há phải là đạo giao lân ư?
此次送好品物，一一璧還，朕不受也。	Lần này các phẩm vật tặng cho nhất nhất trả về hết, trẫm không nhận đâu.
歸語佛王，毋以一裨將之故而妄開邊釁。其早圖之。」	Về nói với Phật vương chớ lấy cớ một tên tỳ tướng mà gây càn hấn khích ở cõi ven, nên sớm phải mưu tính đấy.
使者拜謝而退。	Sứ giả lạy tạ lui ra.
及還，命修書付之。	Khi về vua sai làm thư trả lời giao cho.
十二年三月，嘉定奏言：「探聞暹國聲言舉兵備禦萬象之子曷蛇芃，其寔欲乘間來侵。」	Năm thứ 12, tháng 3, thành Gia Định tâu nói: Do thám được tin nước Xiêm, nói phao lên là đem binh để dự bị chống lại với con vua nước Vạn Tượng là Hạt Xà Bông, nhưng thực ra muốn nhân khi sơ hở đến xâm lấn nước ta.
諭曰：「探子之言，虛寔未辯。但防邊要著，亦先準備。	Dụ rằng: Lời nói của thám tử, hư thực chưa rõ, nhưng đề phòng ở ngoài biên là cốt yếu, cũng nên chuẩn bị trước.
儻得寔信，一面飛章入奏，一面隨機備禦。」	Nếu được tin thực, một mặt làm tờ tâu lên ngay; một mặt liệu cợ dự bị chống giữ.
又命兵部傳旨乂安鎭臣，派人打探萬象國城有無暹屯札，及曷蛇芃聲息、暹國動靜情狀如何。	Lại sai bộ binh truyền chỉ cho trấn thành Nghệ An phái người tới do thám quốc thành nước Vạn Tượng, có quân nước Xiêm đóng đồn không? Và tin tức của Hạt Xà Bông cùng tình trạng động tĩnh của nước Xiêm thế nào?
鎭臣尋奏：「諜者抵萬象國城，其城荒廢無人居，亦無暹兵屯札。	Rồi trấn thần tâu là người thám về tâu rằng: Đến quốc thành Vạn Tượng thấy thành bỏ hoang, không có ai ở, cũng không có quân Xiêm đóng đồn.
惟儂開堡有土兵數十人居，招集萬象遺民而已。	Duy ở bản Nùng Khai có vài chục người lính thổ ở đấy giữ để chiêu tập di dân của Vạn Tượng mà thôi.
訪之，皆云：『自阿弩失守之後，曷蛇芃走竄林中，不知存沒。暹王疑心今已稍釋，不復提及曷蛇芃事。』」。	Hỏi ra đều nói: Tự sau khi A Nỗ bị thua, thì Hạt Xà Bông trốn chạy trong rừng, không biết còn sống hay chết, bụng ngờ vực của vua Xiêm nay đã hơi đỡ đi, không đề cập tới việc Hạt Xà Bông nữa.
十三年，暹二王勉噴羅渉死，遣使來報哀。使至河僊，嘉定城臣以事聞，候取進止。帝諭曰：「年前彼國所爲，於鄰誼多屬欠好。經我致書責問，極爲確切，許久未見回覆。	Năm thứ 13, Xiêm Nhị vương là Miễn Phồn La Thiệp chết, sai sứ sang báo tang, sứ đến Hà Tiên, thành thần Gia Định đem việc tâu lên đợi chỉ cho đến kinh hay không, vua dụ rằng: Năm trước nước họ hành động, đối ới tình lân nghị phần nhiều thiếu sự hòa hiếu, ta đã đưa thư trách hỏi, rất là phải lẽ, mà lâu nay không thấy đưa thư trả lời.
今卻只遣使告哀，其中意向如何，豈應置之不問。	Nay chỉ sai sứ giả sang báo tang, thì ý ở trong thế nào há bỏ đó không hỏi.
使者抵城之日，卽委曹臣鄧璋、白春元向他詰問萬象國長事，何以向茲未通報本國，會議冊立，及犯弁寵衫已未治罪。此二事何不提及，乃止單敍告哀何也。」	Ngày sứ giả tới thành Gia Định, lập tức cho tào thần là Đặng Chương và Bạch Xuân Nguyên đến vặn hỏi về việc Quốc trưởng nước Vạn Tượng sao tới nay vẫn chưa thấy thông báo cho nước ta, để hội nghị sách lập, và tên võ biền phạm tội là Sủng Sam đã trị tội chưa, hai việc đó sao không nói đến, mà chỉ nói riêng một việc báo tang là làm sao?
璋等以問使，使者言：「萬象儲積未充，民未案堵，未便擇立。至如寵衫，坐以革職。	Bọn Chương đem hỏi sứ giả, sứ giả nói: Nước Vạn Tượng kho tàng chứa để chưa sung túc, dân chưa được yên ở, chưa tiện chọn người lập lên; đến như tên Sủng Sam đã phải tội cách chức rồi.
且其國二王物故，暹王憂慮殊深。故先遣使報告，致此二事未及提起。」	Vả lại Nhị vương nước ấy mới chết, Xiêm vương rất là đau xót, nên sai sứ báo tang trước, vì thế hai việc ấy chưa kịp đề cập tới.
帝謂禮部曰：「固知彼不過卑辭取悅耳。	Vua bảo bộ Lễ rằng: Ta biết họ chẳng qua nhún lời để làm cho ta hài lòng mà thôi.
惟念其國現遭喪事，災難頻仍，情亦可憫。其前事未應遽行責備。」	Duy ta nghĩ nước họ đang có tang, mà tai nạn xảy ra luôn, tình cũng đáng thương, về việc trước chưa nên vội vã trách hỏi.
遂準其使來京瞻覲，厚加賞賚遣還。	Bèn cho sứ tới kinh triều yết, ban đồ thưởng cấp hậu rồi cho về.
復遣禮部郎中阮有識等充使往弔之。	Lại sai Lang trung bộ Lễ là bọn Nguyễn Hữu Phúc sung đi sứ sang viếng.
及辭行，帝謂之曰：「使臣有專對之責，爾等此行，可問他以寵衫之罪。辯論間，亦須以義責之。若他知過認咎，則使命已不辱矣。不必過爲苛責，以存國體。」	Kịp khi bọn Thức vào cáo từ để đi, vua bảo rằng: Sứ thần có trách nhiệm tự mình trả lời lấy, lũ ngươi đi chuyến này, nên hỏi họ về tội Sủng Sam, trong khi biện luận cũng nên lấy nghĩa mà trách hỏi, nếu họ biết sự trái mà nhận lỗi, thì sứ mệnh đã không nhục đến mệnh lệnh của vua rồi, bất tất phải trách mỗi khắt khe quá để còn quốc thể.
。十四年十一月，藩安遭變，首逆黎文𠐤委人投書于暹，乞派兵攻高蠻，直抵嘉定，約以事成之後納地稱臣。	Năm thứ 14, tháng 11, trấn Nghệ An gặp có biến loạn, tên đầu giặc là Lê Văn Khôi ủy người đưa thư cho Xiêm xin phái binh đánh nước Cao Man, thẳng tới Gia Định, ước hẹn là sau khi việc thành nộp đất xưng thần.
暹酋乃大發水步兵船，三道竝進。一由北尋奔陸路而來，以丕雅質知爲調撥，挾高蠻國長二弟名俺、名𧑒偕行；一由江路而來，以丕雅肥目涉茫爲調撥；一由眞奔海程而來，以丕雅伐稜爲調撥。	Tù trưởng nước Xiêm bèn đem nhiều thủy bộ binh thuyền ba đường đều tiến: Một đạo quân do con đường bộ ở Bắc Tầm Bôn tới, cho Phi nhã Chất Tri điều bát, đem theo hai em Quốc trưởng Cao Man là tên Yểm, tên Dun đều đi; một đạo quân do đường sông tới, cho Phi nhã Phi Mục Thiệp Mang làm điều bát; một đạo quân do con đường biển ở Châu Bôn tới, cho Phi nhã Phật Lăng làm điều bát.
兵部員外郎承辦南榮邊務胡公祉據藩僚探報，轉達于安江。省臣鄧文朋以所報多出傳聞，未爲明確，乃量派省兵五十人往，與南榮原戍嚴防竝密，咨嘉定軍次隨宜規措。	Binh bộ Viên ngoại lang làm thừa biện công việc ngoài biên ở Nam Vang là Hồ Công chỉ căn cứ vào lời thám báo của quan chuyển đạt An Giang biết, tỉnh thần An Giang là Đặng Văn Bằng cho là tin báo phần nhiều do ở truyền văn, chưa rõ đích xác bèn liệu lượng phái 50 người lính tỉnh tới cùng với lính nguyên thủ ở Nam Vang nghiêm cẩn phòng giữ, và mật tư cho quân thứ ở Gia Định tùy nghi xếp đặt.
暹兵至徒師滀界，高蠻撫栗府、安江省臣得報，卽派兵一百，續往南榮。再咨調永隆弁兵三百防護省莅，竝飛咨嘉定軍次調度。	Quân Xiêm đến địa giới Súc Đồ Sứ thuộc phủ luật nước Cao Man, tỉnh thần An Giang được tin báo, lập tức phái 100 lính tiếp tục tới Nam Vang, lại tư gọi biền binh ở trấn Vĩnh Long 300 người để phòng hộ tỉnh lỵ, và tư ngay cho quân thứ ở Gia Định để điều độ.
疏入，帝令密諭嘉定軍次將軍、參贊等曰：「茲據安江續報邊情，如果有其事，其陳文能、張明講、阮春，卽帶領官兵及蔡公朝鄉勇各一千五百人，分乘船艘，迅往安江。	Tờ sớ dâng lên, vua mật dụ cho bọn tướng quân tham tán ở quấn thứ Gia Định rằng: Nay cứ lời tỉnh An Giang báo tiếp về tình hình ngoài biên, nếu quả có việc ấy thì Trần Văn Năng, Trương Minh Giảng, Nguyễn Xuân lập tức đới lĩnh quan binh và lính hương dũng của Thái Công Triều mỗi nơi đều 1500 người chia ngồi vào các thuyền kíp tới An Giang.
陳文能畱此守護，張明講、阮春仍領大兵一半，直抵南榮駐防。	Trần Văn Năng thì ở đó thủ hộ, còn Trương Minh Giảng và Nguyễn Xuân mỗi người đều lĩnh một nửa đại binh thẳng tới Nam Vang đóng giữ.
再另已勅部擬撰咨文，發到日，可派往北尋奔暹兵駐處投遞，以折其心，使他屈服退回固好。儻先動兵端，侵到高蠻地轄，準卽相機征勦，務合事宜。」。	Lại sắc riêng cho bộ nghĩ soạn tờ tư, hôm nào tờ tư ấy phát đệ đến, nên phái người đem đến Bắc Tâm Bôn chỗ quân Xiêm đóng, để giao để làm nhụt bớt lòng họ khiến cho họ phải khuất phục lui về thì cố nhiên là hay, nếu họ động binh trước xâm!ấn đến địa hạt Cao Man thì chuẩn cho lập tức tùy cơ mà đánh dẹp, cốt cho mọi việc hợp với cơ nghi.
十二月，暹寇侵奪高蠻芃吹府，進蛇能澳。	Tháng 12, giặc Xiêm lấn cướp phủ Bông Xuy của Cao Man rồi tiến đến vọng Xà Năng.
藩王匿螉禛聞之惶恐，單舸奔安江。省臣具以情形入奏。帝諭嘉定軍次陳文能、張明講、阮春等卽遵前諭，管領兵船，迅往南榮。如暹兵現已到此，須先準備，仍問來意，看他舉動如何，相機而行。	Vua Phiên là Nặc Ông Chân nghe thấy sợ hãi đi chiếc thuyền một mình chạy đến An Giang, tỉnh thần đem tình hình trình tâu lên; vua dụ cho quân thú là bọn Trần Văn Năng, Trương Minh Giảng và Nguyễn Xuân phải lập tức theo lời dụ trước, quản lĩnh binh thuyền tới ngay Nam Vang, nếu quân Xiêm hiện đã tới đó thì nên chuẩn bị trước, và hỏi ý kiến họ đến làm gì?
不必遽爾交鋒，先自起釁。若他託以和好爲言，亦須設屯防備。	Xem họ cử động thế nào, liệu cơ mà làm, bất tất vội đánh nhau trước, để mang tiếng tự mình gây hấn; nếu họ mượn tiếng là hòa hiếu, cũng nên đặt đồn phòng bị.
至如高蠻藩王，由安江派人護送于永隆省城，擇地頓駐。	Đến như Phiên vương nước Cao Man, do tỉnh An Giang phái người hộ tống tới tỉnh thành Vĩnh Long, chọn đất để đóng tạm.
暹寇侵據南榮，河僊、朱篤等處諸將軍、參贊分兵勦禦，大破之，殺暹將六七人，擒斬賊黨術數千餘人，收復其地。暹寇又分兵二道，一由乂安置鎭寧、鎭靜，一由甘露之巴欄州，節次來侵。	Giặc Xiêm lấn giữ các xứ: Nam Vang, Hà Tiên, Châu Đốc, các tướng quân, tham tán chia quân chống cự cản phá quân Xiêm, giết được 6, tên tướng Xiêm, bắt chém bọn giặc vài nghìn người, thu lại đất cát Giặc Xiêm lại chia quân làm hai đường, một đạo do phủ Trấn Ninh, Trấn Tĩnh ở Nghệ An; một đạo do châu Ba Lan ở Cam Lộ nhiều lần đến lấn.
分命官兵往勦，連克之。	Bèn chia sai quan binh tới dẹp đánh được luôn mấy trận.
自是暹虜懾不敢動，邊境肅清。	Từ đó giặc Xiêm sợ không dám động nữa, cõi ven được êm lặng.
二十一年，發出匿螉禛女玉卞通書與舅逆魔謀逃于暹之案。暹酋因之，從中慫慂，以立名𧑒辭爲名。𧑒倚暹爲援，與質知皆來。	Năm thứ 21, phát ra cái án là con gái Nặc Ông Chân tên là Ngọc Biện tư thông đưa thư cho cậu là nghịch Mao mưu trốn sang Xiêm, tù trưởng nước Xiêm nhân đó ở trong xui giục mượn tiếng là lập tên Dun để làm cớ, tên Dun thì dựa Xiêm làm viện trợ cùng với Chất Tri đều đến Hải Tây.
海西提督武德忠、宣撫阮雙淸爲匪圍住。	Đô đốc là Vũ Đức Trung, Tuyên phủ là Nguyễn Song Thanh bị giặc vây giữ.
初，不知爲暹目質知援兵。及覺，卽屈意擅與之和，棄海西歸。	Lúc đầu không rõ là viện binh của Xiêm mục Chất Tri, đến khi biết ra, bèn khuất ý tự tiện giảng hòa, bỏ Hải Tây về.
范文典、阮進林等馳往會勦，弁兵雲集。	Bọn Phạm Văn Điển, Nguyễn Tiến Lâm đến ngay hội quân để đánh dẹp.
海東一戰，暹土爲之奪魄。而海西助虐之暹目質知來書講和，言已差人回奏暹酋，今該回北尋奔，俟接得暹酋詞來，卽差人前往鎭西通報。	Các biền binh họp đông như mây, một trận đánh nhau ở Hải Đông, quân Xiêm mất vía mà Xiêm mục là Chất Tri giúp kẻ làm bậy ở Hải Tây, đưa thư đến xin giảng hòa, nói là đã sai người về tâu với Tù trưởng Xiêm rồi, nay hắn về Bắc Tâm Bôn đợi tiếp được tờ của Tù trưởng Xiêm đưa đến thì lập tức sai người đến Trấn Tây thông báo.
鎭西將軍張明講等以事聞。疏下廷議，僉曰：「請由將軍、參贊修書投交質知，大約敍本國之與暹向前通好，原無間隙。茲暹酋輕聽名𧑒之言，越境而來。	Tướng quân ở Trấn Tây là Trương Minh Giảng đem việc tâu lên, sớ ấy giao xuống đình thần bàn, đình thần đều nói rằng, xin cho tướng quân, tham tán biên thư đưa giao cho Chất Tri, đại ước nói nước ta cùng với nước Xiêm từ trước vẫn thông hiếu, nguyên không có hiềm khích gì, nay Xiêm tù nhẹ dạ nghe lời tên Dun vượt cõi tới đây.
今已明知曲直，先自求和，撤兵而去。	Nay đã biết rõ phải trái, tự cầu hòa trước rút quân lui về.
本國官兵須按守疆界，毋得妄生邊隙。	Quan binh của bản quốc vẫn đóng giữ bờ cõi, không được làm càn sinh ra hiềm khích ở ngoài biên.
至如和好，事體重大，應由質知報知暹酋，俟有暹酋書來，本軍門轉奏，亦可成和局等大意。」	Đến như việc hòa hiếu sự thể rất trọng đại, phải do Chất Tri báo cho Xiêm tù biết, đợi có thư của Xiêm tù tới, bản quân môn sẽ chuyển tâu lên, cũng có thể nên hòa cục, đại ý như thế.
乃令張明講等修書，派人遞交質知。質知無有來書回答。	Bèn sai bọn Trương Minh Giảng viết thư phái người đưa giao cho Chất Tri, Chất Tri không có thư đáp lại.
紹治二年二月，暹寇復分道入寇。一由河僊，一由永濟河。	Năm Thiệu Trị thứ 2, tháng 2, giặc Xiêm lại chia đường vào ăn cướp, một đạo do đường Hà Tiên; một do sông Vĩnh Tế.
段文策由水進，范文典等由陸進，兩道殺退暹虜，邊境靜怗，遂班師。	Bên ta Đoàn Văn Sách do thủy tiến, bọn Phạm Văn Điển do đường bộ tiến, hai đường đánh giết, lui được giặc Xiêm, nơi biên cảnh lại im lặng, bèn đem quân về.
五年，蠻目來乞，官兵援勦命阮知方、尹蘊等四道分兵齊進，攻破鐵繩，直抵鎭西。	Năm thứ 5, Man mục lại xin quân cứu viện đánh dẹp. Vua sai bọn Nguyễn Tri Phương và Doãn Uẩn chia quân bốn đường cùng tiến đến đánh, phá vỡ Thiết Thăng thẳng tới Trấn Tây.
蠻虜先已散去，乘勝直擣龍澳城。質知與名𧑒退保烏東。官兵四面攻之。質知自知勢竆力屈，委人齎書請和。將軍、參贊責令引將名𧑒詣軍首罪，各解兵。	Giặc Man đã tản chạy trước, thừa thắng thẳng tới thành Long Úc, Chất Tri cùng tên Dun lui giữ Ô Đông, quan quân bốn mặt tiến đánh, Chất Tri tự biết thế cùng lực kém, sai người đưa thư xin hòa, tướng quân, tham tán bắt phải đem tên Dun đến quân môn thú tội thì đều giải binh.
名𧑒疑懼，不敢出頭，遲迴引日。我軍追逼賊壘。賊黨於壘上喚呌停其放礮，容彼再請講和。	Tên Dun ngờ sợ, không dám thò đầu ra, quanh co kéo dài ngày, quân ta đuổi sát đến lũy giặc, bọn giặc ở trên lũy kêu gọi xin đừng bắn súng, dung cho để lại xin giảng hòa.
尋委人來乞造會館，俾質知得與我官弁一見，道達情由。	Rồi ủy người đến xin tới hội quán, cho Chất Tri được cùng văn quan võ chức ta ra mắt, để đạo đạt tình do.
於是阮知方、尹蘊等整肅兵衞，來此會館。質知引將名𧑒詣首，懇請兩大國和好如前。仍免名𧑒之罪。	Bấy giờ bọn Nguyễn Tri Phương cùng Doãn Uẩn nghiêm chỉnh binh vệ đến hội quán ấy, Chất Tri đem tên Dun đến thú tội và xin hai nước hòa hiếu như trước, nhưng miễn tội cho tên Dun.
將軍、參贊等據情題達。	Bọn tướng quân, tham tán cứ tình đề đạt lên.
諭許之。	Vua xuống dụ y cho.
自是休兵。	Từ đó nghỉ việc binh đao.
其國風俗勁悍尚詐，習於水戰，崇奉釋敎，字皆橫寫。男女多爲僧尼，持齋受戒。	Về phong tục nước ấy thì người mạnh bạo hung dữ, hay xảo trá, quen thủy chiến, sùng phụng đạo Phật, chữ đều viết ngang, trai gái phần nhiều làm sư nam sư nữ, ăn chay giữ giới.
富貴者尤敬佛，百金之產，卽半施之。	Người giàu sang càng kính Phật, của có trăm nén vànghì đem bố thí một nửa.
氣候不正，或嵐或熱，地卑濕，人皆樓居，無床椅之制。男子剪髮畱髻，婦人椎髻。事決婦人。海貝代錢，重禁私銀。	Khí hậu không được chính, hoặc khí núi bốc nóng, hoặc khí trời nóng bức, đất thì thấp ướt, người đều làm sàn để ở, không có giường ghế, đàn ông cắt tóc để lại tóc chỏm, đàn bà búi tóc như cái dùi, mọi việc quyết đoán ở người đàn bà, lấy vỏ ốc ở biển thay tiền, cấm ngặt không ai có bạc riêng.
土產：寶石、金剛鑽、胡椒、荳蔻、丁香、荷、充鐵。	Về thổ sản: Có đá quý, kim cương, hồ tiêu, đậu khấu, đinh hương và sắt hà sung.
水舍火舍。水舍、火舍二國，在南蟠〈黎聖尊辰，攻克占城，立其裔爲南蟠國，割石碑山以西之地畀之。〉之上，村落可五十餘。國中有婆南山，甚高，水王在山之東，火王在山之西。	Nước Thủy Xá, Hỏa Xá nước này ở phía trên nước Nam Bàn, thời Lê Thánh Tôn đánh được nước Chiêm Thành, dựng dòng dõi nước Nam Bàn, cắt đất từ núi Thạch trở về phía Tây ban cho, có độ hơn năm mươi thôn lạc, trong nước có núi Bà Nam rất cao, Thủy vương ở phía Đông núi, Hỏa vương ở phía Tây núi.
本朝初，以其界於富安，五年一遣人至其國，賜以物〈錦衣帽、銅鍋、鐵鐺及磁器盌碟諸物〉，二國得賜，即備方物〈琦、黃蠟、鹿茸、熊腑、雄象〉以獻。	Bản triều ta buổi đầu cho là địa giới giáp Phú Yên, nên 5 năm một lần sai người tới nước đó cho các phẩm vật (áo mũ gấm, nồi đồng, sanh đồng, và đồ sứ như chén dĩa v.v … ), hai nước được ban cho tức thì đem các phương vật kỳ nam, sáp vàng, lộc nhung, mật gấu và voi đực sang dâng.
世宗皇帝辛未十三年，二國入貢，上厚賜遣之，後以爲常。	Năm Tân Mùi, Thế Tông Hoàng đế năm thứ 13 (1751) hai nước đến cống, vua ban cho hậu rồi cho về. Sau cứ theo lệ thường đến cống.
及西山之亂，貢不至。	Tới khi có loạn Tây Sơn, không đến cống nữa.
嘉隆初，二國使至富安納款，厚款其使，遣還。明命初，水舍國長麻乙遣使持所賜物及鍮釭、黃蠟爲信，至富安福山堡，納款請貢。	Gia Long năm đầu, sứ hai nước đến Phú Yên nộp lễ vật, vua hậu thết đãi sứ giả rồi cho về Minh Mạng năm đầu, Quốc trưởng Thủy Xá là Ma Ất sai sứ cầm các vật đã ban cho đồng thau sáp vàng làm tin, tới bảo Phúc Sơn, trấn Phú Yên, nộp lễ vật xin cống.
壬午三年，麻乙死，遂不果。	Năm Nhâm Ngọ, Minh Mạng thứ 3, Ma Ất chết, việc sang cống không làm xong.
癸未四年，國人推其弟麻𩹮爲王。𩹮固辭，止攝國事，復遣使請貢。	Năm Quý Mùi, Minh Mạng thứ 4, người trong nước suy tôn người em là Ma Mú lên làm vua, Mú cố từ, chỉ tạm thay làm việc nước.
未行，麻𩹮死，弟麻藍繼立，嘗欲求通，而無可使者。	Lại sai sứ xin cống nhưng chưa đi thì Ma Mú chết, em là Ma Lam nối dựng, thường muốn cầu thông hiếu mà không có ai sai đi được.
己丑十年三月，聖祖仁皇帝以其國貢不至，遣屬鎭率隊阮文權往探其狀。	Năm Kỷ Sửu, Minh Mạng thứ 10, tháng 3, Thánh Tổ Nhân Hoàng đế cho là nước ấy lễ cống không đưa đến, sai Suất đội ở thuộc trấn là Nguyễn Văn Quyền đến thăm dò tình trạng.
旣至，麻藍甚喜，具以情告。卽遣其屬麻延、麻春等齎象牙一枝，從權，請通職貢。	Khi đến, Ma Lam rất mừng, tỏ bày hết tình hình, rồi sai bọn thuộc hạ là bọn Ma Diên, Ma Xuân đem một chiếc ngà voi theo Quyền xin thông hiếu giữ lễ cống.
鎭臣以聞。命賞國長赤、藍縐紗各一疋，南紗二十疋，及麻延等紗紬衣袴銀兩。	Trấn thần tâu lên, vua sai thưởng cho Quốc trưởng: Nhiễu màu đỏ, màu lam mỗi thứ một tấm, sa nam 20 tấm, và bọn Ma Diên áo quần bằng sa, chừu cùng bạc lạng.
又問：「水舍、火舍本是一國，抑或二國？」	Lại hỏi Thủy Xá Hỏa Xá là một nước hay là hai nước?
使者云：「其國乃火舍，國長稱爲火王，不曾聞有水舍者，水舍之云，乃前使通譯之誤爾。」	Sứ giả nói: Nước ấy là Hỏa Xá, quốc trưởng gọi là Hoả vương, chưa từng nghe ai nói có nước Thủy Xá gọi Thủy Xá bởi sứ trước thông dịch lầm.
自是，其國來貢，始稱火舍。	Từ đó nước ấy đến cống, mới gọi là Hỏa Xá.
十二年，來貢使至富安，賜來京瞻拜，召見，問之曰：「今來朝貢，出自國長誠悃，抑國人有同願乎？」	Năm thứ 12, nước Hỏa Xá sang cống, sứ đến Phú Yên, vua cho vào kinh chào lạy và triệu vào ra mắt hỏi rằng: Nay đến triều cống là tự bởi lòng thành của Quốc trưởng, hay người trong nước cùng muốn cả?
對曰：「臣國長久慕天朝德化，又聞國之黃耈有言：能向上國輸忱，則人民安樂，禾穀豐登。故國長以至臣民，咸願臣屬，仰藉餘慶。」尋令賞賜遣還。	Thưa rằng: Quốc trưởng tôi đã lâu vẫn mến đức hóa của thiên triều, lại nghe các người già ở trong nước nói, nếu đem lòng thành thần phục thượng quốc thì nhân dân yên vui, thóc lúa được mùa, nên từ Quốc trưởng cho đến thần dân đều muốn thần thuộc để nhờ phúc thừa.Rồi sai ban thưởng cho về; lại định cho kỳ cống hiếu, lấy những năm Tý, Mão, Ngọ, Dậu làm mức, 3 năm một lần sai sứ sang cống.
又定貢期，以子、卯、午、酉等年為準，三年一遣使，品貢象牙二枝、犀角二端。	Phẩm vật tiến cống là 2 chiếc ngà voi, 2 chiếc sừng tê.
