第四回。	Hồi thứ tư.
射了一回，贼兵俯身避弹而入，王躬御驾戎服，降楼上象，秉红旗三指三挥，鼓号诸军前趋，诸军听鼓望旗疾趋。	Bắn được một hồi lâu, quân địch khom mình vừa tránh đạn vừa xông vào. Chúa bèn mặc đồ trận, xuống lầu, trèo lên mình voi, cầm cờ đỏ chỉ ba cái, vẫy ba cái, rồi sai thúc trống làm hiệu cho quân lính tiến về phía trước. Quân lính nghe trống giục, trông theo lá cờ liều mạng tiến lên.
贼以火虎纵射，诸军丧胆，皆投戈弃甲于河岸，走不顾身。	Bên địch dùng "hoả hổ" (tên một thứ ống phun lửa của Tây Sơn) phun lửa bừa vào, quân lính nhà chúa đều sợ mất mật, bỏ cả khí giới ở bờ sông mà chạy thục mạng.
王见军散，顾前后左右诸军，已无一人在者，贼不知是王，忙争入府，不复逼象，王急脱戎服，顶丁字巾，退坐鞍后革巢，急拘象回府。	Chúa thấy quân lính tan tác, ngoảnh nhìn quanh mình, đã không còn một người nào; nhưng quân Tây Sơn không biết đó là chúa, hối hả tranh nhau xông vào phủ chúa, không ai lại gần chân voi. Chúa vội cởi bỏ quần áo trận, đội khăn chữ đinh, tụt xuống ngồi núp trong ngăn hòm da ở mé sau bành voi, rồi co đầu voi quay về phủ.
过宣武门，贼前数十人，已入府中，揭旗于府外，王乃拘象从明堂湖望安华坞门而走。	Khi qua cửa Tuyên Vũ, thì thấy tiền binh của địch chừng vài chục người đã vào lọt trong phủ và đang kéo cờ ở phía ngoài phủ; chúa liền quay voi men theo bờ hồ Minh Đường, nhằm phía cửa ô Yên Hoa (tức là ô Yên Phụ, Hà Nội bây giờ) mà chạy.
平既入城，下令严戢诸军，不得掳掠畿内。	Bấy giờ Bình đã vào thành [Nguyễn Huệ vào Thăng Long ngày 26 tháng 6 năm Bính ngọ (1786)], hạ lệnh nghiêm cấm quân sĩ không được cướp bóc của dân, rồi Bình vào phủ chúa nghỉ ngơi.
平乃入府中安顿，那时一二近臣与亲军，知王西出，陆续追随，至城门外，犹有象九条，马十余疋，兵千余人。	Mấy viên cận thần và các thân binh biết chúa chạy về phía tây, bèn lục tục chạy theo. Tới ngoài cửa thành, hãy còn có chín thớt voi hơn mười con ngựa và hơn ngàn người.
过慈廉地界，村民遥望见兵色，疑是贼兵，扶携而走。	Lúc qua địa phận Từ Liêm, dân quê thấy bóng gươm giáo, ngờ là địch đến, vội dắt nhau chạy.
官军遥见，又疑是贼，弃甲而逃者太半。	Quan quân trông đằng xa thấy dân chạy tưởng là địch, quá nửa số người vứt bỏ cả khí giới mà trốn.
至安朗县右阮暖者，东岸云恬人，阮赏之子。素为王家臣，迎王于途，跪于道左，启云：「臣前受命招兵，今已得五百人，候于河之北岸，伏乞御驾北渡，权宁宿于臣贯，以图后举。」	Đến huyện Yên Lãng, thì có người con trai Nguyễn Thưởng là Nguyễn Noãn, quê ở làng Vân Điềm, huyện Đông Ngàn, vốn là gia thần của chúa, đón chúa ở dọc đường quỳ xuống mép đường bên trái mà thưa rằng: - Ngày trước tôi vâng mệnh chúa đi mộ quân, hiện đã mộ được năm trăm tên, đang chờ ở phía bờ bắc sông này. Xin chúa hãy ngự giá sang phía bắc, tới làng tôi đóng tạm để lo tính công việc về sau.
王命招舟子横渡，篙工四下逃去，只觅得个小舟三叶，每叶但容得十三四人，王急登舟，单有小黄门五六人，与暖随行，存军官象马，留在岸上不得渡，望王登了彼岸，便皆遁散。	Chúa bèn sai gọi đò để sang sông. Bao nhiêu chân sào ở bến đò mỗi người lẩn đi mỗi ngả. Tìm mãi mới được ba chiếc thuyền nhỏ, mỗi chiếc chỉ chở được khoảng 13, 14 người. Chúa vội lên thuyền, chỉ có năm sáu viên quan hoạn trẻ tuổi và Noãn đi theo. Còn bao nhiêu quan quân và voi ngựa đều phải ở lại: khi nhìn thấy chúa đã sang đến bờ bên kia, thì họ cũng bảo nhau trốn chạy tan tác.
王既登岸，全不见兵卫，问暖。暖曰：「兵卫现在臣贯，请王微行，前来不远。」	Chúa lên bờ, không thấy một tên quân nào, vội hỏi Noãn thì Noãn đáp: - Lính tráng hiện ở làng tôi, xin chúa hãy quá bộ đi dấn lên phía trước, làng tôi cách đây cũng không xa.
王悔为暖所误，且恐从此向前，更未知途中安否如何？	Chúa có ý hối bị Noãn làm lỡ việc, lại sợ đi nữa chưa chắc giữa đường có được yên lành hay không.
无人可信，惟有文臣进士为足恃，乃问暖曰：「旁近村邑曾右进士某名员否？」	Bấy giờ quanh mình chẳng có ai đáng tin; chúa nghĩ rằng chỉ có những bậc văn thần tiến sĩ là có thể trông cậy được, bèn hỏi Noãn: - Những thôn ấp gần đây có viên tiến sĩ nào không?
对曰：「此间没有一人，惟有添差知吏番李陈瑻。	Noãn thưa: - Ở đây thì chẳng có ai là tiến sĩ.
前奉招谕，权驻于下雷社。但未知现今在否？」	Chỉ có viên thiêm sai tri lại phiên Lý Trần Quán, trước kia phụng mệnh đi chiêu dụ nhân dân, vẫn đóng tạm tại làng Hạ Lôi, nhưng không biết hiện giờ có còn ở đó nữa không?
王曰：「尔第往探问，如见这员，当密告以状，令为我谋。」	Chúa nói: - Người hãy thử đi hỏi xem. Nếu còn thì nên bảo kín tình trạng này để cho viên ấy biết mà lo liệu giúp ta.
暖奉命入见李陈公，且说颠末。且曰：「臣前奉招兵，今现有兵卫等侯，在某县界首，长官且谋权借兵仗，卫王过敝县界，便是稳当。」	Noãn vâng mệnh, đi tới ra mắt Lý Trần Quán kể rõ đầu đuôi, rồi nói: - Tôi trước vâng mệnh về quê mộ quân, hiện nay đã mộ được một số, đang đợi ở địa giới huyện tôi. Quan lớn hãy liệu cách nào mượn tạm lấy ít binh lính, khí giới hộ vệ cho chúa tới đó, thế là yên ổn. Quán có người quen là viên tuần huyện Trang (tức Nguyễn Trang) ở làng Hạ Lôi.
公有所谙下雷入巡县，名庄者，素是劫渠，旧曾及公门，时公居下雷，亦倚庄为卫，乃语庄曰：「参从继烈侯避乱来投，烦汝为卫，送之过界。	Trang vốn là một tên tướng cướp, thuở trước đã có học với Quán. Bấy giờ Quán trú ở Hạ Lôi cũng là nhờ có Trang che chở. Nghe Noãn nói thế, Quán bèn cho gọi Trang vào bảo: - Hiện có quan tham tụng là Kế liệt hầu tránh loạn đến đây, muốn phiền anh hộ tống ra khỏi địa phận.
庄曰：「诺！」	Trang xin vâng.
公因与庄随暖见王，原来公是政府小臣，未曾见得王面，王亦未尝知公。	Quán liền cùng Trang theo Noãn đến yết kiến chúa. Nguyên lúc Quán ở chính phủ chỉ là một viên quan nhỏ, chưa từng được thấy mặt chúa, mà chúa cũng chưa hề biết Quán bao giờ.
乍见公来，显侍臣问曰：这是谁人？」	Khi ấy, chợt thấy Quán đến, chúa bèn ngoảnh lại hỏi mấy viên thị thần: - Đó là người nào?
对曰：「是李陈瑻的。」	Bọn thị thần đáp: - Đó là Lý Trần Quán!
王方谦辞，未知所言。	Chúa đang nhún nhường chưa biết nên nói câu gì.
公亦恭敬倍常，进见若不敢当者。	Quán khi được tiếp kiến cũng tỏ ra hết sức cung kính, điệu bộ rụt rè, khúm núm.
君臣之间，皆不觉露出本色。	Vô tình chúa và tôi đều lộ rõ chân tướng.
久之，王与公语，始及心事。	Hồi lâu, chúa mới nói tâm sự với Quán.
公指庄曰：「臣有此名，是臣门下，这也他承当得。」	Quán chỉ vào Trang thưa: - Tôi có tên này, vốn là học trò cũ của tôi, việc đó hắn rất có thể đảm đương được.
顾谓庄曰：「好好卫长官过界。」	Rồi Quán quay sang bảo Trang: - Anh phải cẩn thận hộ vệ quan lớn ra khỏi địa giới đấy nhé!
庄曰：「诺！」	Trang thưa: "Dạ!".
公乃辞王归室。	Quán bèn từ biệt chúa, trở về nhà riêng.
庄以手下五十人，卫王而行。	Còn Trang thì đem theo năm mươi thủ hạ đi hộ vệ chúa.
赵李陈公所居之别室，问曰：「公莫非端南王的，可实告臣。	Lúc đi qua một ngôi nhà mà Quán đã từng ở, Trang giữ chúa lại trong một căn buồng bỏ không và hỏi: - Ông có phải là Đoan nam vương thì cứ nói thực với tôi.
不尔且有他变，幸勿见责。」	Nếu không, rồi xảy ra việc gì, ông đừng có trách!
王初犹瞒应曰：「君问可妄祸耶！	Chúa mới đầu còn định giấu giếm, bèn đáp: - Sao anh lại đoán xằng như vậy?
我只是行参从裴辉璧的。」	Ta chỉ là quan tham tụng Bùi Huy Bích mà thôi!
庄曰：「公休作欺人语，昨见君臣隐状，还瞒过得谁？	Trang nói: - Ông chớ nói dối người ta. Cái bộ điệu che đậy của chúa tôi nhà ông lúc nãy tôi đã thấy cả rồi, còn che mắt ai được nữa?
自古兴发常事，筭公也避亦难脱，毋自劳也。」	Từ xưa đến nay, hưng phế là việc thường, ông cũng không thể tránh khỏi, đừng có làm gì nữa cho thêm nhọc mình!
乃引王回其家，王变色大怒曰：「王者命在天，真正大元帅端南王是我，纵死于国人之手，亦是天命，任尔为之。」	Rồi Trang đưa chúa về nhà. Chúa giận lắm, đổi sắc mặt mà nói: - Vua chúa phải có mệnh trời. Chính thật đại nguyên soái Đoan nam vương là tao đây! Nếu có chết về tay người trong nước thì cũng là mệnh trời. Tha hồ cho mày làm gì thì làm!
庄乃使人驰告于贼，凡追随之人并拘执之。	Trang bèn sai người đi báo tin cho quân Tây Sơn. Hết thảy những kẻ đi theo chúa đều bị bắt giữ.
公闻有变，躬来王所，叩头于地曰：「误王至此，臣之罪也。」	Quán nghe tin có việc biến, thân hành đến tận chỗ chúa, rập đầu xuống đất mà nói: - Làm lầm chúa đến nông nỗi này, là do tội của tôi cả!
王曰：「人各有心，卿坷预焉。」	Tông đáp: - Người ta ai có bụng nấy, khanh có can dự gì?
公出告庄曰：「王是天下共主，而我则尔之师也。	Quán lui trở ra, bảo Trang: - Chúa là chúa chung của thiên hạ. Mà ta lại là thầy anh.
君臣大义，何忍于是。」	Vua tôi là nghĩa lớn, sao anh nỡ làm như thế?
庄曰：「长官不早见告臣，使臣误见王，如王逸于臣手，南兵问臣罪，长官还能为之辨解耶？	Trang đáp: - Quan lớn không bảo tôi trước, khiến tôi trót lầm đến gặp chúa. Nếu chúa trốn thoát ở tay tôi, rồi nữa quân Nam đến hỏi tội tôi, liệu quan lớn có thể biện bạch hộ được không?
畏师未若畏贼，爱王未若爱身。臣不为长官所误也。」	Sợ thầy chưa bằng sợ giặc, yêu chúa chưa bằng yêu thân mình, tôi không để quan lớn làm cho lầm lỡ đâu!
乃逼归室，喝手下拥王出京，公前来拜王，号泣呼天曰：「嗟嗟天乎！	Tiếp đó, Trang bức Quán phải trở về nhà, rồi quát thủ hạ dìu chúa về kinh đô. Quán tới lạy chúa, vừa khóc vừa kêu gào rằng: - Ối trời ơi!
臣弑臣主，天知之乎！」	Tôi giết chúa tôi rồi, trời có hay chăng?
王慰之曰：「卿之忠诚，孤已谅之，无自怨也。」	Chúa an ủi: - Tấm lòng trung thành của khanh, "cô" (lối khiêm xưng của vua chúa đời xưa) đã biết rồi đừng nên tự oán mình như thế!
公欲说王少留，未及辞，王已为庄所逼而去。	Quán muốn nèo chúa ở lại chút nữa, nhưng chưa kịp nói thì chúa đã bị Trang đẩy đi rồi.
到途中旅馆少歇，王取得馆人小刀，引以自刭。	Đi đến giữa đường, Trang dẫn chúa vào tạm nghỉ trong một cái quán. Chúa vớ được con dao con của nhà hàng, đưa lên đâm ngay vào cổ mình. Trang trông thấy vội giằng lấy dao.
庄急夺其刀，刃浅伤小，王以指串伤处裂之，又为庄所止。	Mũi dao đâm vào hãy còn nông, nên vết thương ở cổ cũng nhỏ. Chúa bèn dùng ngón tay chọc vào vết thương xé cho rách thêm ra, nhưng cũng bị Trang ngăn chặn.
有顷，王觉心中烦燥，求清冷水，庄许之。	Một chốc, chúa thấy trong bụng nôn nao, buồn bực, đòi uống nước lạnh. Trang sai người lấy nước cho chúa.
王引水咽下而殂。	Chúa bưng nước uống xong thì chết liền.
庄送王至京，贼大喜。暴王于宣武门外，以示天下。	Trang đưa thi hài chúa đến kinh. Quân Tây Sơn mừng lắm, đem phơi xác chúa ra ngoài cửa Tuyên Vũ để cho thiên hạ cùng biết.
既而命具敛衬，一如王者。以小龙平顶舆，送王出恭国公陵葬之，而封庄为壮义侯，加山西镇守。	Sau đó, sai khâm liệm chúa đúng theo lễ vua chúa, rồi dùng kiệu rồng đưa ra chôn ở lăng Cung quốc công (nơi chôn Trịnh Cán). Còn Trang, được phong làm Tráng nghĩa hầu thêm chức trấn thủ Sơn Tây.
时丙午六月二十七日也。	Hôm ấy nhằm ngày 27 tháng 6 quận công năm Bính ngọ (1786) (theo Trịnh thị thế gia, thì ngoài Trang còn có Nguyễn Noãn tức Ba Đóm cũng tham dự vào việc bắt Tông. Nhưng lúc Noãn đòi thưởng công thì Nguyễn Huệ cho là kẻ bất nghĩa và sai đem chém ngay).
公在下雷，别王归室，谓其居亭主人曰：「以臣误君，罪当死。	Ở Hạ Lôi, Lý Trần Quán sau lúc từ biệt chúa, liền quay về nhà trọ, nói với chủ nhà rằng: - Bề tôi mà làm lầm vua, tội thật đáng chết!
我纵不死，无以自白此心于天地。	Nếu ta không chết, không lấy gì tỏ được lòng này với trời đất.
可为我辨棺一具，白布十尺，听我自行其志。」	Vậy hãy sắm cho ta một cỗ quan tài, mười vuông vải trắng, để ta làm theo cái chí của ta.
主之劝解之，公不从，曰：「我死自有别法，非尔所能止也，爱我者听我所为。」	Chủ nhà hết sức khuyên giải, Quán vẫn không nghe, nói rằng: - Ta đã muốn chết, tự khắc còn có những cách khác, nhà ngươi không thể ngăn nổi đâu. Nếu quả là yêu mến ta, thì cứ để mặc ta làm gì thì làm.
越二日，公忿益热，主人止公不得，知公志不可夺，俱具如命。	Qua hai ngày sau, Quán càng phẫn uất, bồn chồn. Chủ nhà ngăn Quán chẳng được, biết lòng trung của Quán không thể lay chuyển, đành phải sắm sửa đầy đủ các thứ theo như lời Quán đã bảo.
公乃命掘所居之后苑为穴，安棺穴中，以白布裂头巾壹顶，腰带一段，仍取衣冠南面向再拜。	Quán sai đào huyệt ở ngay vườn sau nơi nhà mình ở đặt sẵn chiếc quan tài xuống đó. Lại lấy vải trắng xé ra làm một chiếc khăn đội đầu và một chiếc dây lưng. Sau đó, đội mũ mặc áo chỉnh tề, hướng về phía nam lạy hai lạy.
拜讫，去冠加头巾，束大带，稳卧棺内，教主人盖之。	Lạy xong, lại bỏ mũ, lấy khăn trắng chít lên đầu, lấy dải lưng trắng thắt ngang lưng; rồi nằm vào trong quan tài, bảo chủ nhà đậy nắp lại.
盖毕，公在棺内曰：「尚欠一言，须自语之。」	Tấm ván vừa đặt lên, bỗng Quán ở trong áo quan nói vọng ra: - Hãy còn thiếu một câu nữa, phải nói hết cái đã.
主人又开棺，公口念一联云：「三年之孝已完，十分之忠未尽。」	Chủ nhà lại mở nắp ra, Quán liền đọc hai câu rằng: Tam niên chi hiếu dĩ hoàn, Thập phần chi trung vị tận (nghĩa là: Đạo hiếu ba năm đã trọn, Chữ trung mười phần chưa xong).
且曰：「烦公以此句遗嘱吾儿，他日粘于闹堂以事我。」	Rồi Quán bảo với chủ nhà: - Phiền ông đem câu ấy dặn lại con ta, bảo nó sau này dán ở nhà thờ mà thờ ta.
语讫，继曰：「多谢主人，吾从此别矣！」	Nói xong câu ấy, lại tiếp luôn: - Đa tạ ông chủ, ta vĩnh biệt ông từ đây nhé!
主人与其仆从五六人，拜别棺前毕，盖棺取土盖而封之。	Chủ nhà và năm sáu tên đày tớ cùng sụp xuống lạy chào ở trước quan tài, rồi đậy nắp và lấp đất lên.
时六月二十九日，盖后王二日也。	Hôm ấy là ngày 29 tháng 6, năm Bính ngọ (1786) sau khi chúa chết hai ngày.
公慈廉云耕人，举丙戌科进士。	Quán người làng Vân Canh, huyện Từ Liêm, đỗ tiến sĩ khoa Bính Tuất (1766); tính nết giản dị, chất phác và rất hiếu thảo.
为人简易朴实，性至孝，居父母丧三年，墓庐一遵礼法。	Trong khi chịu tang mẹ, Quán ở nhà mồ luôn ba năm liền; miệng không ăn thịt cá, thân thể gầy rạc, chỉ còn da bọc xương.
常自言曰：「吾今四十，平生所履行，惟此三年，近于人道。」	Quán thường tự nói: "Ta nay đã bốn chục tuổi đầu, nhưng những việc đã làm trong quãng đời vừa qua của ta, chỉ có ba năm chịu tang này là gần với đạo làm người".
盖其自处无憾如此，故形于临死之言，又如此，其自许也。	Bởi Quán cư xử không có điều gì đáng phàn nàn như vậy, nên khi sắp chết, Quán mới có lời tự hứa (nghĩa là tự cho rằng mình có điều đáng khen.
公卒后，天下莫不痛王而义公。	ở đây chỉ vào câu "Tam niên chi hiếu dĩ hoàn", ý nói mình đã tận hiếu với cha mẹ) như thế Sau khi Quán mất, thiên hạ ai cũng thương chúa và kính trọng Quán là bậc nghĩa khí.
推原始祸，莫不怨整，整亦颇自知之。	Rồi nhân đó truy nguyên đến kẻ gây ra tai hoạ, không ai là không oán Chỉnh. Chỉnh cũng cảm thấy điều ấy.
整有相识杜世龙者，青池弘烈人，为人狡猾。	Chỉnh có một người quen là Đỗ Thế Long, quê ở làng Hoằng Liệt, huyện Thanh Trì, vốn là một kẻ giảo hoạt.
整负官货时，龙亦以别故得罪，与整同在囹圄。	Hồi Chỉnh nợ tiền công bị bỏ ngục, Long vì cớ khác phải tội, cũng cùng ở tù với Chỉnh.
龙善为国音词曲，与整相颉颃。	Long làm các bài từ khúc bằng chữ nôm rất giỏi, so với Chỉnh cũng không kém gì.
及整自西山出，龙尚在囚。	Kịp đến khi Chỉnh ở Tây Sơn ra, Long vẫn còn bị giam.
整至京，使人释之，以龙为上宾，每问以国家事，知无不言，言无不从。	Chỉnh tới kinh, tức thì sai người thả Long ra, và đãi Long làm bậc khách quý. Mỗi lần có việc nước, Chỉnh đều hỏi han Long. Long biết điều gì, không bao giờ không nói.
至是整谓龙曰：「王不信我心，轻自伤生，纵使王在，我必以清闲之地处之，不使之失名禄。」	Đã nói, không bao giờ Chỉnh không theo. Đến lúc này thấy chúa chết, Chỉnh bèn nói với Long rằng: - Chúa không tin bụng ta, nên mới đến nỗi tự huỷ hoại đời mình. Nếu chúa còn sống, hẳn ta cũng đặt vào một địa vị thanh nhàn không để đến nỗi phải mất danh lộc.
龙闻整语意，慨然有立郑之想，欲因整这意思，从中开转，以救其机。	Long nghe lời lẽ của Chỉnh, thấy Chỉnh đối với chúa cũng có tình, bỗng nhiên Long nảy ra cái ý muốn lập lại họ Trịnh. Rồi nhân ý của Chỉnh, Long bèn xoay chuyển thêm để cho đúng với cơ mưu của mình.
正是：毁卵逞残嗟毒手，存雏妄想笑痴心。	Thật là: Ác độc than người tàn phá trứng, Ngây thơ cười kẻ giữ gìn con.
未知这事如何，且看下回分解。	Chưa biết việc này ra sao? Xin xem hồi sau phân giải.
