会子盐上会子、交子之法盖有取于唐之飞钱。	Pháp trao đổi tiền muối và tiền giao dịch của hội tử có nguồn gốc từ tiền bay thời Đường.
秋毫不犯军民感悦。	Mùa thu, lông tơ không bị xâm phạm, quân dân cảm thấy vui vẻ.
及师行吴人有负糗粮以送者。	Và thầy trò đi qua đất Ngô có người mang lương thực để gửi đi.
至寿春与合势以攻其城改淮南道招讨败淮南军二千于黄蓍砦。	Đến Thọ Xuân, hợp sức tấn công thành, cải cách Đường Hoài Nam, triệu tập đánh dẹp, đánh bại quân Hoài Nam hai ngàn tại Hoàng Chiêu Đài.
世宗再幸寿州召拱宴赐甚厚以为命领其属驻镇淮军。	Thế Tông lại đến thọ châu triệu gọi Cổng yến, ban thưởng rất hậu để làm mệnh lãnh đạo thuộc hạ đóng quân tại quân đội Hoài.
及克寿州以功加同平章事、领。	Và nhờ công lao đã chiếm được Châu Thọ, được bổ nhiệm làm Đồng Bình Chương sự.
四年徙归德军节度。淮南平改山南东道节度俄充西南面水陆发运招讨使。	Năm thứ tư, dời về quân đội Đức Quản lý đường thủy và bộ từ phía Tây Nam, điều động quân đội từ phía Đông Nam của Huainan.
恭帝即位。加检校太师、河南尹、。宋初加兼侍中。	Nguyên Đế đăng cơ Gia Kiểm Tiến Tào Thái Sư Hà Nam Ấn Đầu triều Tống, bổ nhiệm kiêm chức Thị Trung.
太祖征李筠拱迎谒至汜水言于上曰：「筠逆节久著兵力日盛陛下宜急济大河逾太行乘其未集而诛之缓则势张难为力矣」。	Thái Tổ triệu tập Lý Duyên đến Sử Thủy, nói với bệ hạ rằng: "Duyên đã lâu nay nổi loạn, binh lực ngày càng mạnh. Bệ hạ nên khẩn trương vượt sông lớn, vượt qua Thái Hành, nhân lúc chúng chưa tập hợp mà tiêu diệt họ. Nếu chậm trễ, thế lực sẽ lớn mạnh, khó mà kháng cự được."
帝从其言卷甲倍道趋之。	Hoàng đế theo lời mà thu lại áo giáp, gấp rút tiến đến.
筠果率兵南向闻车驾至惶骇走泽州城守遂见擒。	Quân của Jun Quả hướng nam, nghe tin xe ngựa đến, hoảng sợ bỏ chạy, bị bắt giữ tại thành Trạch Châu.
乾德初从郊祀毕封。	Năm Khánh Đức, sau khi lễ tế ngoài trời hoàn tất, đã được phong tặng.
拱尹河南十馀年专治园林第舍好声妓纵酒为乐府政废弛群盗昼劫。	Trong hơn mười năm, Công Ẩn ở Hà Nam chuyên trị vườn tược, nhà cửa, thích ca kỹ, say sưa vui vẻ, chính quyền suy tàn, bọn cướp ngày đêm lộng hành.
太祖闻之怒移镇安州命左武卫上将军焦继勋代之谓继勋曰：「洛久不治选卿代之无复效拱为也」。	Thái Tổ nghe tin tức liền nổi giận, chuyển giao quyền cai quản An Châu cho Tướng quân Tả Vũ Vệ là Giáp Kế Huân. Ngài nói với Kế Huân rằng: "Lạc lâu không trị, chọn ngươi thay thế, không còn hiệu quả gì nữa."
太平兴国初进封秦国公来朝授。八年代判左金吾街仗事。表献西京长夏门北园诏以银五千两偿之。	Thái Bình Hưng Quốc, ban đầu phong tước Công Quốc Tần đến triều cống Sự kiện trên phố Tả Kim Ngô vào những năm tám Bản tấu dâng lên về việc bồi thường năm ngàn lượng bạc cho Bắc Viên, cổng Bắc Mùa Hè tại Tây Kinh.
卒年七十五。赠。咸平初真宗闻拱之后有寒馁流离者录其孙怿为。	Mất năm bảy mươi lăm tuổi Tặng Vào đầu thời kỳ Hàm Bình, triều đại của Tống Chân Tông, nghe tin có những người nghèo khổ, lưu lạc sau khi triều đình hưng thịnh, đã ghi nhận cháu trai của họ là Ngụy.
拱子至洛苑使；昱出身。子悦为。人。性温和恭谨能礼下土。	Công Tử đến Lạc Viên, sai Dực xuất thân Con vui mừng Người Tính cách ôn hòa, kính cẩn, biết lễ nghĩa với đất đai.
少事后唐魏王继岌从继岌讨蜀还至渭南。	Sau khi ít việc, vua Wei của triều đại Hậu Đường, Kế Cực, từ Kế Cực trở về sau khi đánh dẹp nước Thục, đã đến vùng Vị Nam.
会即位继岌遇害左右遁去乃依凤翔重云山僧舍晖道人为徒。	Khi lên ngôi, gặp nạn, bên trái bên phải đều phải trốn chạy, liền nương nhờ vào chùa của hòa thượng Huy Đạo nhân ở núi Phượng Tường.
晖善观人谓曰：「子富贵人也安能久居此？」	Huy thiện quan nhân nói rằng: "Con là người phú quý, sao có thể lâu ở nơi này mà không có tài sản để gửi đi?"
给资帛遣之。时晋祖帅陜乃召至帐下委以心腹。	Thời Tấn Tổ dẫn dắt vùng Hà Nam, triệu tập đến trướng, giao phó cho người tâm phúc.
及移镇太原将引兵南下遣从事桑维翰求援契丹以从行。	Và chuyển quân đến Thái Nguyên, sẽ dẫn quân nam hạ, phái người đi là Tằng Vi Hàn cầu viện từ Khiết Đan để cùng hành động.
天福初累迁奉德军校再转殿前散指挥都虞候、领蒙州刺史。	Năm Thiên Phúc đầu tiên, thăng chức Tướng quân Phụng Đức, sau đó chuyển sang chức Đô Ngự Hầu chỉ huy trước điện, lãnh chức Thứ sử Mông Châu.
汉初领岳州防御使兼护圣左厢都校出为。	Vào đầu triều đại Hán, đảm nhiệm chức vụ Đề đốc phòng ngự tại Tĩnh Châu kiêm Hộ Thánh Tả Hiên Đô Hiệu xuất phát.
时自彭门迎湘阴公入缵位会军变周祖革命即命权知徐州节度。	Lúc đó, từ cổng Bành Môn đón công Xương Âm vào vị trí tôn quý, hội quân biến động, cách mạng của Tổ Chu liền ra lệnh cho quyền biết tiết độ của Từ Châu.
未行湘阴公旧校巩廷美据州叛真拜命讨之。	Chưa đi, công tước Tương Âm cũ, Cống Đình Mỹ, theo lệnh của triều đình, đã dẹp yên cuộc nổi loạn của tỉnh.
督战舰破其水砦乘胜拔之。	Đốc chiến thuyền phá nước lũ, nhân thắng chiếm lấy.
又与枢密使王峻拒刘崇于晋州以骑兵进崇遁去授建雄军节度。	Lại cùng Thủ mật sứ Vương Tuấn ngăn cản Lưu Sùng tại Tấn Châu, dùng kỵ binh tiến đánh Sùng, khiến hắn phải rút lui giao cho quân Kiến Hùng quyền chỉ huy.
复以所部追贼至霍邑贼步骑堕崖谷死者甚众。	Lại theo quân đội của mình đuổi bắt bọn cướp đến Hóa Ấp, bọn cướp bộ và kỵ đã rơi xuống vực thẳm, số người chết rất nhiều.
归镇所俄改河阳三城节度移镇河中。	Quy về trấn, đổi thành Hà Dương, ba thành tiết độ, dời trấn Hà Trung.
显德初加同平章事。刘崇南寇命领兵取晋州路东向邀击从战高平。	Năm Hiển Đức, được bổ nhiệm làm Đồng Bình Chương sự Lưu Sung Nam dẫn quân đánh chiếm đường Đông tỉnh Tấn, hướng về phía mời gọi tấn công từ trận cao Bình.
自阴地关与会兵围汾州诸将请急攻曰：「城已危矣旦暮将降我士卒精锐傥驱以先登必死伤者众少待之」。	Từ Ấm Địa Quan, các tướng hội quân vây thành Phần Châu, xin khẩn cấp tấn công, nói rằng: "Thành đã nguy rồi, sáng tối sẽ đầu hàng. Đoàn quân ta tinh nhuệ, nếu thúc giục tiến lên trước, chắc chắn sẽ chết, thương vong nhiều ít còn chờ đợi."
翌日州将董希颜果降。	Ngày hôm sau, tướng tỉnh Đổng Hy Nghiêm cuối cùng đã đầu hàng.
遂引兵趣石州亲鼓士乘城躬冒矢石数日下之擒其守将安彦进献行在。	Vậy nên, ông dẫn quân tiến về Thạch Châu, thân mình khích lệ sĩ tốt, trèo lên thành, chịu đựng mưa tên đá trong vài ngày, cuối cùng bắt giữ được viên thủ thành An Diễn, dâng lên triều đình.
师还改忠武军节度加兼侍中。	Thầy còn được thăng chức Giám quân Trung Vũ, kiêm nhiệm chức Thị trung.
诏率所部浚胡芦河城李晏口。	Chiếu dụ chỉ huy các đơn vị làm sạch thành Li Yến khẩu bên sông Hồ Lô.
工未毕辽人万馀骑来侵击败之杀伤甚众。	Công việc chưa hoàn tất, người Liêu với hơn vạn kỵ binh đến xâm lấn, đánh bại họ, gây thương vong rất nhiều.
宰相李谷征淮南以为前军行营副部署败淮南军二千于寿州城下。	Tể tướng Lý Cổ chinh phạt Hoài Nam, giữ chức phó chỉ huy quân tiên phong, đã đánh bại quân Hoài Nam hai ngàn người dưới thành Thọ Châu.
吴兵水陆来援谷退保正阳吴人蹑其后。	Quân Ngô từ thủy bộ đến cứu viện, đánh lui quân Vũ, bảo vệ chính dương, quân Ngô theo sát phía sau.
会兵至合势急击大败吴人三万馀众追北二十馀里。	Quân đội hội tụ, thế mạnh khẩn trương, đánh bại lớn quân Ngô hơn ba vạn, truy kích về phía Bắc hơn hai mươi dặm.
还改、永兴军节度。六年夏移镇凤翔。恭帝嗣位加检校太师、西面缘边副都部署。	Còn đổi tên thành Đô đốc quân Vĩnh Hưng Năm thứ sáu, mùa hè, dời trấn Phượng Tường Cung Đế kế vị, phong chức Kiểm Tiêu Đại Sư, phụ tá đô đốc phía Tây.
宋初加兼代还。	Thời kỳ đầu triều Tống, thêm vào việc thay thế và trở lại.
太祖与有旧因幸作坊召从臣宴射酒酣谓曰：「卿昔在复州朕往依卿何不纳我？」	Thái Tổ cùng với những người cũ, nhân dịp hội họp ở xưởng, triệu tập các bề tôi để tiệc tùng và bắn cung. Say rượu, ngài nói: "Các khanh, ngày trước ở Phục Châu, trẫm đã từng nương nhờ vào khanh. Sao không tiếp nhận trẫm?"
降阶顿首曰：「勺水岂能止神龙耶！	Đáp lại, họ cúi đầu nói: "Nước trong chén sao có thể dừng được thần long?
当日陛下不留滞于小郡者盖天使然尔」。	Ngày đó, nếu bệ hạ không lưu lại nơi huyện nhỏ, thì chắc chắn là do thiên ý vậy."
帝大笑。翌日奉表待罪帝遣中使慰谕令赴朝谒。	Đế cười lớn Ngày hôm sau, nhận chỉ dụ chờ tội, hoàng đế sai sứ giả đến an ủi, lệnh cho đến triều kiến.
未几复以为永兴军节度。又以其父光禄卿致仕重霸为太子少傅致仕。	Chưa lâu sau lại được phong làm Tiết độ quân Vĩnh Hưng Cũng vì cha của ông, Tể tướng Quang Lộc, đã từ chức, nên ông được phong làm Thiếu Phụ của Thái tử và cũng đã từ chức.
复镇凤翔。三年丁外艰起复。为右金吾卫上将军判街仗事。封。	Phục Trấn Phượng Tường Ba năm gian khổ, lại khôi phục Để làm Tướng quân Thượng của vệ Kim Ngọc bên phải, phụ trách việc quản lý các cuộc chiến trên đường phố.
七年语人曰：「人臣七十致仕古之制也。	Phong Bảy năm, người ta nói rằng bề tôi bảy mươi tuổi thì nên nghỉ hưu, đó là chế độ cổ xưa.
我年六十九当自知止」。	Tôi năm sáu mươi chín, tự biết dừng lại.
明年表求致仕加太子太师给金吾上将军禄。	Năm sau, xin từ chức, bổ nhiệm làm Thái Tử Thái Sư, ban thưởng lộc cho Tướng quân Kim Ngô.
既得请尽斥去仆妾之冗食者居处服用咸遵俭约。	Khi đã có được, xin hãy loại bỏ những kẻ ăn uống phung phí, hãy ở lại nơi thanh bạch và tuân theo sự tiết kiệm.
卒年七十三。赠尚书令。太祖从容谓曰：「卿等皆国家旧臣久临剧镇王事鞅掌非朕所以优贤之意」。	Thọ bảy mươi ba tuổi Tặng Thượng Thư Lệnh Thái Tổ bình thản nói rằng: "Các ngươi đều là bề tôi cũ của quốc gia, lâu nay giữ chức vụ quan trọng, việc triều chính không phải là ý của trẫm để ưu đãi kẻ hiền tài."
知旨即前奏曰：「臣无勋劳久冒荣宠今已衰朽愿乞骸骨归丘园臣之愿也」。	Biết ý chỉ, bèn khởi đầu rằng: Thần không có công lao, lâu nay đã chịu đựng vinh hoa, nay đã suy tàn, xin được trở về nơi an nghỉ, đó là nguyện vọng của thần.
行德等竟自陈夙昔战功及履历艰苦帝曰：「此异代事何足论？」	Hành Đức và những người khác cuối cùng tự thuật về chiến công và những khó khăn trong quá khứ, hoàng đế nói: "Đây là chuyện của những triều đại khác, không đáng để bàn luận."
翌日皆罢行德等节镇。	Ngày hôm sau, tất cả đều bị bãi chức.
时议以此许。初将致政每戒诸子曰：「吾累为统帅杀人多矣身死得免为幸必无阴德以及后汝曹勉为善事以自庇」。	Thời nghị cho phép điều này Khi bắt đầu đảm nhận chính sự, ta thường nhắc nhở các con rằng: Ta đã nhiều lần làm tổng chỉ huy, đã giết chóc rất nhiều. Nếu ta chết mà được miễn tội thì thật là may mắn. Nhất định không nên có đức hạnh âm thầm để lại cho các con sau này. Hãy cố gắng làm những việc thiện để tự bảo vệ mình.
及卒诸子果无达者。	Và cuối cùng, các con cái đều không có ai thành đạt.
宣化门内有大第园林甚盛不十馀年其家已鬻之矣。	Trong cửa Xuanhua có một khu vườn lớn, cảnh sắc rất phong phú, nhưng chỉ sau mười năm, gia đình ấy đã bán đi.
孙及第亦止于州县。字抱一并州阳曲人。家世饶财。曾祖丕尚气节。后唐武皇镇太原急于用度多严选富家子掌帑库。	Tôn Cập Đệ cũng chỉ dừng lại ở châu huyện Chữ Bảo, người ở Dương Khúc, tỉnh Bính Châu Gia thế phong phú Tằng tổ Phi tôn khí tiết Hậu Đường Vũ Hoàng trấn Thái Nguyên, gấp rút sử dụng ngân quỹ, chọn lựa nghiêm ngặt con nhà giàu đảm nhiệm kho tàng.
或调度不给即坐诛没入赀宁。	Nếu không điều động đúng cách thì sẽ bị xử phạt, không được hưởng tài sản.
丕为之潢满岁府财有馀。	Năm đầy đủ, tài sản trong phủ dư thừa.
宗人政当次补其任率族属泣拜请丕济其急丕又为代掌一年乡里服其义。	Tôn nhân chính trong lần này bổ nhiệm người đảm nhiệm, dòng họ khóc lóc bái lạy xin cứu giúp sự khẩn cấp, Tôn lại đảm nhiệm một năm, phục vụ trong làng theo nghĩa vụ.
父颖事晋至。生四岁母马氏被出育于祖母事继母刘以孝闻。	Cha Vĩnh phục vụ nước Tấn Khi sinh ra được bốn tuổi, mẹ là bà Mã bị đuổi ra ngoài, được bà ngoại nuôi dưỡng, còn việc chăm sóc mẹ kế Lưu thì được nghe nói đến với lòng hiếu thảo.
周祖初为侍卫吏与颖善乃以女妻。	Chu Tổ ban đầu làm thị vệ, sau đó cưới con gái của Ứng Thiện.
迎其母妻诣宋州。时寇贼充斥乃易弊衣毁容仪居委巷中。	Đón mẹ và vợ đến Tống Châu Thời loạn, giặc cướp tràn lan, dễ dàng làm hư hại y phục, hủy hoại dung nhan, cư ngụ trong hẻm phố.
有贼过即邀乞焉给曰：「此悲田院耳」。	Có kẻ trộm qua đây, liền mời gọi, nói rằng: "Đây chỉ là một cánh đồng bi thương."
贼即舍去繇是免祸。	Giặc thì bỏ đi, nhờ đó mà tránh được họa.
周祖为。表授押班。乾佑中命赐潞帅常遇生辰礼币。	Châu Tổ Bảng thụ ức ban Vào thời kỳ Khánh Dụ, ban thưởng lễ vật sinh nhật cho Thái thú Lục.
遇周祖之外兄弟也。	Gặp gỡ anh em bên ngoài của Chu Tổ.
时周祖镇邺被谗族其家。	Thời nhà Chu, tổ tiên của Zhou bị vu cáo, gia đình ông bị hại.
在潞州闻有密诏授遇探知其意谓遇曰：「得非泣杀耶？	Tại Lục Châu, nghe có mật chỉ giao cho, gặp phải biết ý nghĩa, bèn nói: "Có phải là vì khóc mà bị giết chăng?
即死无怨恐累君侯家耳」。	Chết cũng không oán, chỉ sợ làm liên lụy đến nhà quân hầu."
遇愕然曰：「何谓也？」	Gặp phải điều bất ngờ, hỏi rằng: "Điều gì đây?"
曰：「奸邪蠹政郭公誓清君侧愿且以属吏事成足以为德不成死未晚」。	Đáp rằng: "Là sự gian tà, tham nhũng trong chính trị. Công tước Quốc thề sẽ làm sạch bên cạnh vua, nguyện giao phó việc này cho quan lại. Nếu thành công thì đủ để lập đức, nếu không thành thì chết cũng không muộn."
遇以为然止令壮士严卫然所以馈之甚厚。	Gặp gỡ cho rằng như vậy, chỉ khiến cho những người hùng mạnh mẽ canh giữ, vì vậy mà đã đãi ngộ họ rất hậu hĩnh.
亲问之曰：「君视丈人事得成否？」	Thưa hỏi rằng: Ngài xem việc của trưởng lão có thành công hay không?
曰：「殆必成」。	Đáp rằng: Hầu như chắc chắn sẽ thành công.
未几周祖使至遇贺且谢曰：「老夫几误大事」。	Chẳng bao lâu, tổ tiên sai người đến chúc mừng và cảm ơn, nói rằng: "Lão phu suýt chút nữa đã lỡ việc lớn."
初魏人柴翁以经义教里中有女后唐庄宗时备掖庭入洛遣出宫。	Thời kỳ đầu của nhà Ngụy, có một ông lão tên là Chai dạy dỗ đạo lý trong làng, có một cô gái. Về sau, vào thời nhà Đường, vua Trang Tông đã chuẩn bị đưa cô vào cung, rồi lại phái ra khỏi cung.
柴翁夫妻往迎之至鸿沟遇雨甚逾旬不能前。	Ông lão Chai và phu nhân ra đón, đến Hồng Khâu gặp mưa lớn, hơn mười ngày không thể tiến bước.
女悉取装具计直千万分其半以与父母。	Nữ nhân lấy đồ trang sức, chia ra mười triệu phần, nửa phần để dâng cha mẹ.
令归魏曰：「儿见沟旁邮舍队长项黵黑为雀形者极贵人也愿事之」。	Lệnh về nước Ngụy, nói rằng: "Trẻ thấy bên bờ mương, đội trưởng bưu điện có hình dáng như chim sẻ, là người rất quý. Mong được phục vụ người ấy."
问之乃周祖也。	Hỏi thì chính là Tổ của triều đại Chu.
父母大愧然终不能夺。	Cha mẹ vô cùng hổ thẹn nhưng cuối cùng không thể giành lại.
他日语周祖曰：「君贵不可言妾有缗钱五百万资君时不可失」。	Ngày khác, ngài nói với tổ tiên rằng: "Quý ngài không thể nói ra, thiếp có năm triệu đồng tiền, xin ngài đừng để lỡ thời cơ này."
周祖因其资得为军司。	Chu Tổ nhờ vào tài năng của mình được bổ nhiệm làm quân sư.
柴翁好独寝人传其能司冥间事。	Ông lão Chai thích ngủ một mình, người truyền lại khả năng quản lý việc ở cõi âm.
一日晨起大笑不已妻问之不对。	Một buổi sáng, tôi cười lớn không ngừng, vợ tôi hỏi mà không đáp.
翁好饮其妻逼令饮极醉因漏言曰：「花项汉作天子矣」。	Ông thích uống, vợ ép ông uống say đến mức lỡ lời nói rằng: "Hoa Hạng đã làm thiên tử rồi."
其妻颇露之遇亦微有闻未深言。	Vợ của ông cũng có chút tiếng tăm, nhưng chưa được biết đến sâu sắc.
至是故以此讽遇遇送归周祖。	Vì vậy mà gửi gắm tâm tư, tiễn đưa về với tổ tiên nhà Chu.
周祖登位封妻为晋国公主授左卫将军、内殿直小底四班都知加驸马都尉、领和州刺史。	Vua Chu lên ngôi, phong vợ làm Công chúa nước Tấn, bổ nhiệm làm Tướng quân vệ trái, phụ trách nội điện, chỉ huy bốn ban tiểu đội, thăng chức Đô uý phò mã, lãnh chức Thứ sử Hoà châu.
逾年擢为殿前都虞候、领俄迁殿前都指挥使、时年二十四。	Hơn một năm sau được thăng làm Đô Ngự Hầu trước điện, lãnh chức Đô Chỉ Huy Sứ trước điện, lúc đó mới hai mươi bốn tuổi.
显德元年并州刘崇引契丹来侵。	Năm thứ nhất của Hiển Đức, Lưu Sùng ở Binh Châu dẫn người Khất Đan đến xâm lược.
世宗亲征战于高平大将樊爱能、何徽方战退衄。	Thế Tông thân chinh, chiến đấu tại Cao Bình, đại tướng Phàn Ái Năng và Hà Huy Phương đã rút lui.
及驻上党世宗昼卧帐中召语曰：「前日高平之战主将殊不用命樊爱能而下吾将案之以法」。	Và khi dừng chân tại Thượng Đảng, Thế Tông ban ngày nằm trong trướng, triệu gọi và nói rằng: "Ngày trước, trong trận cao bình, tướng lĩnh không nghe lệnh, Phàn Ái Năng, ta sẽ xét xử theo pháp luật."
曰：「陛下欲固守封疆则已必欲开拓疆宇威加四海宜痛惩其失」。	Nói rằng bệ hạ muốn giữ vững biên cương thì đã đủ, nhưng nếu muốn mở rộng lãnh thổ, uy quyền lan tỏa bốn biển, thì cần phải trừng phạt nghiêm khắc những sai lầm.
世宗掷枕于地大呼称善。	Thế Tông ném gối xuống đất, lớn tiếng khen ngợi.
翌日诛二将以徇军威大振。	Ngày hôm sau, xử án hai tướng để củng cố uy danh quân đội.
进攻太原师薄城下与、史北控忻口以断契丹援路。	Tấn công thành Bạc dưới chân núi Thái Nguyên, kiểm soát bắc Sử tại Khâm Khẩu để cắt đứt đường viện trợ của Khiết Đan.
太原城四十里周师去城三百步围之二匝。	Thành Thái Nguyên có bốn mươi dặm, quân đội đi ra khỏi thành ba trăm bước, bao vây hai vòng.
自四月至六月攻之不克。	Từ tháng Tư đến tháng Sáu, công kích nhưng không thành.
契丹援兵果至战没继败其众二千馀众遁去。	Quân Khất Đan cuối cùng đã đến, trận đánh không ngừng thất bại, quân số hơn hai ngàn người đã phải tháo chạy.
以领武信军节度。师还徙义成军节度。时父颖为隶人曹澄等所害因奔南唐。	Lãnh đạo quân tín vũ Sư lại dời đến Nghĩa Thành quân tiết độ Thời cha tôi, Ứng bị bọn Tào Trừng và những kẻ khác hãm hại, vì vậy phải chạy sang Nam Đường.
会议南征请行自效许之。	Hội nghị Nam chinh, xin hãy tự hiệu hứa hẹn.
师至寿春刘仁瞻坚壁不下。	Thầy đến Thọ Xuân, Lưu Nhân Triêm kiên cố không chịu hạ vũ khí.
出疲兵诱之傍伏精骑每战阳不利北退三十里伏兵突起夹攻大败之仁赡仅以身免。	Đem quân mệt mỏi dụ địch, bên cạnh phục kích kỵ binh tinh nhuệ. Mỗi trận đánh, ánh sáng không thuận lợi, quân Bắc rút lui ba mươi dặm. Binh phục nổi dậy, tấn công từ hai phía, đại bại. Nhân Dân chỉ còn giữ được tính mạng.
三年世宗亲征至寿州城下仁赡执澄等三人槛送行在意求缓师诏赐俾其甘心。	Ba năm, Thế Tông thân chinh đến dưới thành Thọ Châu, Nhân Thận, Chấp Thanh cùng ba người khẩn cầu cho phép hoãn quân lệnh, xin ân điển để họ được an lòng.
太祖与领前军至紫金山吴人列十八砦战备严整。	Thái Tổ cùng với quân tiên phong đến núi Tử Kim, người Ngô sắp xếp mười tám đồn trại, chuẩn bị chiến đấu nghiêm ngặt.
敌垒西偏有高陇下瞰其营中选劲弓强弩伏陇旁太祖麾兵直攻第一砦战阳不胜淮人果空砦出斗亟登陇发伏驰入据之敌众散走。	Địch lũy phía tây có đồi cao nhìn xuống doanh trại, chọn những cung mạnh nỏ tốt ẩn bên đồi. Thái Tổ ra lệnh cho quân tấn công thẳng vào đồn đầu, chiến đấu với người Hoài không thắng, quả nhiên đồn trống, lập tức leo lên đồi, phát động tấn công, lao vào chiếm giữ, quân địch đông đảo tan chạy.
翌日又攻第二砦鼓噪而进始攻北门淮人开南门而遁。	Ngày hôm sau lại tấn công đồn thứ hai, ầm ĩ tiến vào, bắt đầu công kích cổng phía Bắc, người Hà Nam mở cổng phía Nam mà trốn thoát.
时在扬州。复为吴人所逼欲退师。世宗怒遣率师援之又败泗州军千馀于曲溪堰俄屯下蔡。	Thời điểm ở Dương Châu Lại bị người Ngô ép buộc muốn rút quân Thế Tông tức giận phái quân tiếp viện, lại đánh bại quân Sở hơn ngàn người tại Khúc Khê Diễn, rồi đóng quân dưới Tống Từ.
时吴人以周师在寿春攻围日急又恃水战乃大发楼般蔽江而下泊于濠、泗周师颇不利。	Thời kỳ đó, người Ngô thấy quân Chu đang công thành ở Thọ Xuân, tình hình ngày càng cấp bách, lại nhờ vào chiến tranh trên sông, bèn cho dựng lầu thuyền che khuất dòng sông mà hạ trại ở Hoàng Tứ. Quân Chu gặp nhiều bất lợi.
吴将林仁肇帅众千馀水陆齐进又以船数艘载薪乘风纵火将焚周浮梁周人忧之。	Tướng Ngô Lâm Nhân Triệu dẫn dắt hàng ngàn quân nước và đất cùng tiến, lại dùng vài chiếc thuyền chở củi, nhân gió phóng hỏa, định thiêu đốt cầu Phù Lương. Người dân Chu lo lắng.
俄而风反吴人稍却进兵败之。	Bỗng nhiên gió đổi, quân Ngô dần lùi bước, quân địch bị bại trận.
又夜使习水者没其船下縻以铁金巢引轻舠急击。	Lại vào ban đêm, người lái thuyền trên sông Học buộc thuyền của mình bằng dây sắt, dùng mũi nhọn để khẩn trương tấn công.
吴人既不得进溺者甚众夺其巨舰数十艘。	Người Ngô không thể tiến vào, những kẻ bị đắm rất đông, đã cướp đi hàng chục chiếc thuyền lớn.
解金带赏习水者。乃距浮梁十馀步以铁索千馀尺横截长淮又维巨木自是备御益坚矣。	Giải kim đai thưởng học thủy giả Vậy là cách bến Phù Lương hơn mười bước, dùng xích sắt dài hơn ngàn thước bắc ngang dòng Trường Huệ, lại dùng gỗ lớn làm trụ, như vậy đã tăng cường phòng thủ thêm vững chắc.
俄又败千馀众于淮北岸获战船数十艘吴人多溺死。	Nga lại đánh bại hơn một ngàn quân ở bờ Bắc Hoài, thu được hàng chục chiếc thuyền chiến, nhiều người Ngô bị chết đuối.
诏褒美之。冬擢为殿前都点检。四年从克寿州还制授、领镇宁军节度。	Sắc chỉ khen ngợi Mùa đông được thăng chức làm Đô Điểm Kiểm trước điện Năm thứ tư trở về từ Khắc Thọ Châu, được phong làm tiết độ sứ quân Trấn Ninh.
五年夏契丹扰边命率步骑二万拒之。	Năm thứ năm, vào mùa hè, người Khiết Đan quấy rối biên giới, lệnh triệu tập hai vạn bộ và kỵ binh để chống lại.
从世宗北伐还驻澶渊解兵柄加检校太尉、。	Từ khi Thế Tông Bắc phạt trở về, dừng chân tại Chân Viễn, giải trừ quyền bính, bổ nhiệm làm Kiểm hiệu Thái Úy.
恭帝嗣位移忠武军节度。太祖即位加兼侍中。入朝授武胜军节度。入觐召对后苑道旧故饮以巨觥每呼驸马不名。	Cung Đế kế vị, dời chức tiết độ quân Trung Thành Thái Tổ lên ngôi kiêm chức Thị Trung Nhập triều nhận chức Tiết độ quân Vũ Thắng Nhập kiến, triệu đối, sau vườn cũ, uống rượu bằng bình lớn, mỗi khi gọi hoàng tế không nêu tên.
时并、汾未下太祖密访其策。	Thời điểm chưa xuống Thái Tổ bí mật thăm dò kế sách của mình.
曰：「太原兵少而悍加以契丹为援未易取也。	Nói rằng quân đội ở Thái Nguyên ít ỏi nhưng lại dũng mãnh, thêm vào đó có sự trợ giúp từ người Khiết Đan, thật không dễ dàng để chiếm lấy.
臣以每岁多设游兵扰其农事仍发间使以谍契丹绝其援然后可下也」。帝然之。	Tôi cho rằng mỗi năm nên cử nhiều quân lính đi quấy rối việc nông nghiệp của họ, đồng thời phái người đi thám thính để cắt đứt sự viện trợ từ người Khitan, như vậy mới có thể hạ được họ.
俄归本镇。会出师讨金陵以己资造战船数十艘运粮万斛自顺阳沿汉水而下。	Đế nhiên chi Nga quy bản trấn Sẽ xuất quân đánh Kinh Lăng, dùng tài lực của mình chế tạo hàng chục chiến thuyền, vận chuyển ngàn hộc lương thực từ Thuận Dương theo dòng Hán Thủy mà xuống.
富民高进者豪横莫能禁乃发其奸置于法。	Người giàu có và quyền thế không ai có thể ngăn cản, vì vậy họ bộc lộ sự gian trá và bị đưa ra pháp luật.
进潜诣阙诬缘险固置十馀砦图为不轨。	Tiến vào ẩn dật, đến cửa cung, vu cáo vì hiểm nguy, cố ý đặt mười mấy trại để làm điều bất chính.
太祖命枢密都承旨曹翰领骑兵察之诘其砦所进曰：「张侍中诛我宗党殆尽希中以法报私愤尔」。	Thái Tổ lệnh cho Thủ mật Đô Thừa chỉ Tào Hàn dẫn kỵ binh đi điều tra, hỏi về việc tiến vào trại của họ, nói rằng: "Trương Thị Trung đã giết hại đảng phái của ta gần như tận diệt, mong rằng Trung có thể dùng pháp luật để báo thù riêng cho mình."
翰以进授遽解缚就市笞而释之。	Hàn đã tiến cử, lập tức giải thoát khỏi xiềng xích, đến chợ đánh đòn rồi thả ra.
时称其长者。来朝拜。五年坐市秦、陇竹木所过矫制免关市算降为本卫大将军。	Thời gọi người lớn tuổi hơn Đến triều bái Năm năm ngồi chợ, các loại tre gỗ ở Tần Lũng qua lại, miễn thuế và tính toán giảm xuống cho Đại tướng quân của bản vệ.
