子曰:学而时习之,不亦悅乎？	Khổng tử nói: Học thì phải luyện tập, chẳng vui lắm sao?
颜渊曰：“请问其目”。	Nhan Uyên nói: Xin thầy cho biết từng mục nhỏ để thực hiện đức nhân.
子曰:“非礼勿视,非礼勿听,非礼勿言,非礼勿动”。	Khổng tử nói: Việc trái lễ chớ xem, không hợp lễ chớ nghe, không hợp lễ chớ nói, không hợp lễ chớ làm.
颜渊曰:“回虽不敏，请事斯语矣”。	Nhan Uyên nói: Con không minh mẫn cũng xin làm đúng lời thầy.
仲弓问仁。子曰:“出门如见大宾，使民如承大祭；己所不欲，勿施於人；在邦无怨，在家无怨”。	Trọng Cung hỏi về chữ nhân, Khổng tử nói: Ra khỏi cửa, bước đi như sắp đón khách quý, sai khiến dân giống như đang làm tế lễ lớn. Việc mình không muốn, đừng làm cho người khác. Ở trong nước hay trong nhà đừng để cho ai oán giận mình.
仲弓曰:“雍虽不敏，请事斯语矣”。	Trọng Cung nói: Con không minh mẫn cũng xin làm đúng lời thầy.
司马牛问仁。	Tư Mã Ngưu hỏi về đức nhân.
子曰：“仁者，兲言也讱”。	Khổng tử nói: Người đức nhân không nói năng tùy tiện, phải nhẫn nại.
曰：兲言也讱，斯谓之仁已乎？	Ngưu hỏi lại: Không nói tùy tiện và nhẫn nại là người nhân ư?
子曰：为之难，言之得无讱乎？	Khổng tử nói: Làm đã khó, nói chả lẽ có thể tùy tiện ư?
司马牛问君子。	Tư Mã Ngưu hỏi về quân tử.
子曰：“君子不忧不惧”。	Khổng tử nói: Quân tử không lo, không sợ.
曰:不忧不惧,斯谓之君子已乎？	Ngưu lại hỏi: Chẳng lo chẳng sợ mà đủ gọi là quân tử ư?
子曰:内省不疚，夫何忧何惧？	Khổng tử nói: Tự xét mình không có tội thì còn gì phải lo lắng sợ hãi?
司马牛忧曰:“人皆有兄弟，我独亡”。	Tư Mã Ngưu buồn rầu nói: Mọi người đều có anh em, riêng tôi không có.
子夏曰:商闻之矣:死生有命，富贵在天。	Tử Hạ nói: Ta từng nghe sống chết có số mệnh, phú quý do trời.
君子敬而无失，与人恭而有礼，四海之内，皆兄弟也。	Quân tử chỉ cần làm việc chu đáo, đối xử cung kính lễ độ với người thì bốn bể một nhà, là anh em cả.
君子何患乎无兄弟也？	Quân tử lo gì không có anh em?
子张问明.	Tử Trương hỏi về sự sáng suốt.
子曰:浸润之谮,肤受之愬,不行焉,可谓明也已矣。	Khổng tử nói: Lời nói xấu ngấm dần, lời vu cáo đau nhức đến da đều không làm ảnh hưởng đến mình, được như vậy gọi là sáng suốt.
浸润之谮,肤受之愬，不行焉,可谓远也已矣。	Lời nói xấu và lời vu cáo chẳng có tác dụng tới mình thì có thể nói là người nhìn xa trông rộng.
子贡问政。	Tử Cống hỏi về chính trị quốc gia.
子曰:“足食,足共,民信之矣”。	Khổng tử nói: “Phải đủ lương thực, đủ binh lính, nhân dân tin phục”.
子贡曰:必不得已而去,於斯三者何先？	Tử Cống hỏi: Nếu buộc phải bỏ một cái thì bỏ cái nào?
曰:“去共”。	Khổng tử đáp: Bỏ quân lính.
子贡曰:必不得已而去,於期二者何先?	Tử Cống lại hỏi: Nếu buộc phải bỏ một trong hai điều còn lại thì bỏ cái gì?
曰:去食。	Khổng tử nói: Bỏ lương thực.
自古皆有死,民无信不立.	Xưa nay không ai tránh được cái chết. Nếu nhân dân không còn tin tưởng nữa thì nước không đứng vững.
棘子成曰:君子质而已矣，何以文为？	Cức Tử Thành nói: Quân tử chỉ cần phẩm chất tốt là được, cần chi văn nữa.
子贡曰:惜乎夫子之说君子也！	Tử Cống nói: Tiếc thay ngài bàn về quân tử như vậy không đúng rồi.
驷不及舌。	Bốn ngựa không đuổi kịp cái lưỡi.
文犹质也，质犹文也，虎豹之鞟犹犬羊之鞟。	Văn cũng quan trọng như chất, chất quan trọng như văn. Da hổ, da báo lột đi thì làm sao phân biệt với da chó, da dê?
哀公问於有若曰:年饥，用不足，如之何？	Lỗ Ai Công hỏi Hữu Nhược: Năm mất mùa, không đủ tiêu xài, làm thế nào?
有若对曰:盍彻乎？	Hữu Nhược nói: Sao ta không đánh thuế triệt (thu một phần 10 hoa lợi) của dân?
曰:二，吾犹不足，如之何兲彻也？	Lỗ Ai Công nói: Thu hai phần mười, ta chưa đủ dùng, làm sao áp dụng biện pháp gia tăng đây?
对曰:百姓足，君孰与不足？	Hữu Nhược thưa rằng: Nếu dân đủ ăn, sao vua lại không đủ.
百姓不足，君孰与足？	Nếu dân thiếu ăn thì làm sao mà vua đủ được?
子张问崇德辨惑。	Tử Trương hỏi về cách làm sao nâng cao đạo đức, nhìn ra được sự mê hoặc.
子曰:主忠信，徙义，崇德也。	Khổng tử nói: Lấy trung thực và tín nghĩa làm chính, ra sức làm việc nghĩa, đó là đề cao đạo đức.
爱之欲其生，恶之欲其死，既欲其生，又欲其死，是惑也。	Yêu ai thì muốn họ sống, ghét ai thì muốn họ chết. Vừa mong người này sống, vừa muốn người kia chết – ấy là sự mê hoặc.
诚不以富，亦祗以异‟。	Có câu Thực chẳng vì giàu, chỉ vì lạ thôi.
齐景公问政於孔子。	Tề Cảnh Công hỏi Khổng tử về việc cai trị quốc gia.
孔子对曰:“君君,臣臣,父父,子子”。	Khổng tử đáp: Làm vua ra vua, quan ra quan, cha ra cha, con ra con (làm đúng danh vị của mình).
公曰：善哉！	Vua nói: Hay quá!
信如君不君,臣不臣,父不父,子不子，虽有粟,吾得而食诸？	Nếu vua chẳng trọn đạo vua, tôi chẳng trọn đạo làm tôi, cha không trọn đạo làm cha, con chẳng trọn đạo con, tuy có lương thực đấy, ta có thể ăn được ư?
子曰：片言可以折狱者，其由也与？	Khổng tử nói: Dùng một câu nói giản dị mà phán đoán vụ án, có lẽ chỉ có Trọng Do!
子路无宿诺。	Tử Lộ đã hứa là nhất định đúng hạn.
子曰：听讼，吾犹人也。	Khổng tử nói: Xem xử án, ta lo buồn như mọi người.
必也使无讼乎！	Ta chỉ muốn không bao giờ xảy ra kiện tụng.
子张问政。	Tử Trương hỏi về quản lý chính sự.
子曰：“居之无倦，行之以忠”。	Khổng tử nói: Giữ chức không được trễ nải, làm việc phải giữ trung thực.
子曰:博学於文，约之以礼，亦可以弗畔矣夫！	Khổng tử nói: Người quân tử trước học sâu rộng về văn, sau học lễ ràng buộc mình, nhờ vậy khỏi trái đạo.
子曰：君子成人之美，不成人之恶。	Khổng tử nói: Quân tử giúp người làm điều tốt đẹp, không khiến người trở nên ác xấu.
小人反是。	Kẻ tiểu nhân làm ngược lại.
季康子问政於孔子。	Quý Khang tử hỏi Khổng tử về chính sự.
孔子对曰：政者正也。	Khổng tử nói: Chữ “chính” nghĩa là “chính trực”.
子帅以正，孰敢不正？	Ngài gương mẫu giữ đạo chính thì ai dám bất chính?
季康子患盗，问於孔子。	Quý Khang tử lo lắng nạn trộm cướp (rất nhiều ở nước Lỗ lúc ấy) bèn hỏi Khổng tử.
孔子对曰:“苟子之不欲，虽赏之不窃”。	Khổng tử nói: Nếu ngài không tham lam, dù có thưởng cho họ, họ cũng chẳng dám ăn trộm nữa.
季康子问政於孔子曰:如杀无道，以就有道，何如？	Quý Khang tử hỏi Khổng tử về chính sự: Giết kẻ vô đạo, khiến dân biết mà theo đạo, được không?
孔子对曰：子为政，焉用杀？	Khổng tử đáp: Ngài cầm quyền quốc gia, cần gì phải giết người?
子欲善而民善矣。	Ngài thực sự làm điều thiện thì dân sẽ làm điều thiện.
君子之德风，人小之德草，草上之风,必偃。	Đức hạnh quân tử như gió, đức hạnh kẻ tiểu nhân như cỏ. Gió thổi trên cỏ thì cỏ nhất định rạp theo chiều gió.
子张问:士何如斯可谓之达矣？	Tử Trương hỏi: Kẻ sĩ như thế nào gọi là thành đạt?
子曰：何哉，尔所谓达者？	Khổng tử nói: Theo ngươi nghĩ đạt là gì?
子张对曰：“在邦必闻，在家必闻”。	Tử Trương thưa: Khi làm quan ở triều đình có danh tiếng, ở quê nhà cũng có danh tiếng.
子曰：是闻也，非达也。	Khổng tử nói: Đó gọi là văn chứ không phải đạt.
夫达也者，质直而好义，察言而观色，虑以下人。在邦必达，在家必达。夫闻也者，色取仁而行违，居之不疑。	Đạt nghĩa là phải có phẩm chất chính trực, thích làm việc nghĩa, giỏi phân tích lời nói và giỏi quan sát sắc mặt người khác, khiêm tốn nhường nhịn người khác.
在邦必闻，在家必闻。	Người như vậy làm quan triều đình nhất định đạt, ở nhà cũng đạt.
樊迟从游於舞雩之下，曰:“敢问崇德、修慝、辨惑”。	Phàn Trì theo chân Khổng tử đi thăm đài Vũ Vu, hỏi: Dám hỏi thầy làm thế nào để tu dưỡng đạo đức, diệt ác trừ mê hoặc?
子曰:善哉问！	Khổng tử nói: Câu hỏi hay quá!
先事后得，非崇德与？	Trước hãy làm việc thiện, chẳng phải là sùng đạo à?
攻其恶,无攻人之恶,非修慝与？	Phê phán cái xấu của mình, không chỉ trích cái sai của người khác, đó chẳng phải trừ bỏ lòng ác ư?
一朝之忿,忘兲身,以及兲亲，非惑与？	Nhất thời nóng giận mà quên bản thân, lại làm liên lụy cả cha mẹ, đó không phải mê hoặc ư?
攀迟问仁。	Phàn Trì hỏi về chữ nhân.
子曰:“爱人”。	Khổng tử nói: “Yêu người”.
问知。子曰：“知人”。	Hỏi về sự hiểu biết, Khổng tử nói: “Biết người”.
樊迟未达。	Phàn Trì không hiểu được.
子曰：“举直错诸枉，能使枉者直”。	Khổng tử nói tiếp: “Cử người ngay thẳng ở trên kẻ ác thì có thể biến kẻ ác thành ngay thẳng”.
樊迟退，见子夏曰：“乡也吾见於夫子而问知，子曰”举直错诸枉，能使枉者直‟，何谓也？	Phàn Trì ra về, gặp Tử Hạ, nói: “Vừa rồi tôi gặp thầy hỏi về đức trí, thầy bảo”đem người ngay thẳng ở trên kẻ ác thì có thể biến kẻ ác thành ngay thẳng‟. Như vậy là thế nào?
子夏曰：富哉言乎！	Tử Hạ nói: Câu nói này rất phong phú!
舜有天下，选於众，举皋陶，不仁者远矣。汤有天下，选於众，举伊尹，不仁者远矣。	Vua Thuấn xưa được thiên hạ, chọn nhân tài trong quần chúng là ông Cao Đào, kẻ bất nhân dần dần không còn nữa. Vua Thang được thiên hạ cũng chọn nhân tài trong dân chúng cất nhắc được ông Y Doãn. Dần dần kẻ bất nhân cũng không còn.
子贡问友。	Tử Cống hỏi về quan hệ bằng hữu.
子曰：“忠告而善道之，不可则止，毋自辱也”。	Khổng tử nói: Đem lòng trung thành mà khuyên bạn làm điều tốt, không được thì thôi, đừng tự chuốc lấy nhục nhã.
曾子曰：“君子以文会友，以友辅仁”。	Tăng Tử nói: Quân tử dùng văn chương để tập hợp bạn bè, dùng bạn mà bồi dưỡng nhân đức.
子路问政。	Tử Lộ hỏi về quản lý chính sự.
子曰：“先之劳之”。	Khổng tử nói: Phải chịu vất vả cùng dân khó nhọc.
请益。	Tử Lộ xin giảng thêm.
曰：“无倦”。	Khổng tử nói: Không biết mệt mỏi.
仲弓为季氏宰,问政。	Trọng Cung làm tổng quản cho họ Quý, hỏi về chính sự.
子曰：“先有司，赦小过，举贤才”。	Khổng tử nói: Trước hãy giao việc và kiểm soát người dưới quyền, bỏ qua lỗi nhỏ, chọn cử hiền tài.
曰：焉知贤才而举之？	Cung nói: Làm sao biết hiền tài để cử ra?
曰：举尔所知。尔所不知，人其舍诸？	Khổng tử nói: Cử người mà mình biết, còn người mà mình không biết, người ta có bỏ họ đâu.
子路曰:卫君待子为政,子将奚先?	Tử Lộ nói: Nếu vua nước Vệ mời thầy đi làm quan, thầy làm gì trước tiên?
子曰:必也正名乎!	Khổng tử nói: Tất phải chính danh đã.
子路曰:有是哉，子之迂也！	Tử Lộ nói: Phải vậy ư?
奚兲正?	Thầy nói viển vông quá, sao phải chính danh?
子曰：野哉，由也！	Khổng tử nói: Trò Do sao nói năng thô thiển thế?
君子於兲所不知,盖阙如也。	Quân tử gặp việc mình chưa rõ thì không nên nói tùy tiện…
名不正则言不顺,言不顺则事不成,事不成则礼乐不兴，礼乐不兴则刑罚不中,刑罚不中,则民无所措手足。	Danh không hợp thì lời nói sẽ không thuận, nói không thuận thì việc không thành. Việc không thành thì lễ nhạc mất trật tự. Lễ nhạc mất trật tự thì hình phạt không đúng đắn, hình phạt không đúng thì dân không biết làm thế nào cho đúng.
故君子名之必可言也,言之必可行也。	Vậy người quân tử khi có danh phù hợp với thực thì có thể nói ra được, nói được thì thực hành thông suốt.
君子於兲言,无所苟而已矣.	Quân tử không bao giờ sơ suất với lời nói của mình.
樊迟请学稼。	Phàn Trì xin học làm ruộng.
子曰:“吾不如老农”。	Khổng tử nói: Ta đâu phải lão nông.
请学为圃。	Phàn lại xin học làm vườn.
曰：“吾不如老圃”。	Khổng tử đáp: Ta đâu biết làm vườn.
樊迟出。	Phàn Trì ra ngoài.
子曰:小人哉，樊须也！	Khổng tử nói: Phàn Trì đúng là kẻ tiểu nhân.
上好礼，则民莫敢不敬,上好义,则民莫敢不服；上好信，则民莫敢不用情。	Người trên trọng lễ thì dân đâu dám coi thường. Người trên trọng nghĩa thì dân ai dám không phục tùng. Người trên coi trọng tín thì dân nào dám giả dối.
夫如是，则四方之民襁负其子而至矣,焉用稼？	Làm được như vậy thì dân chúng bốn phương cõng con tới theo mình hết. Cần gì phải học trồng trọt.
子曰:诵诗三百，授之以政，不达；使於四方,不能专对。	Khổng tử nói: Học thông ba trăm bài Kinh Thi, khi được giao chính sự thì làm không nổi, đi sứ nước ngoài không ứng đối được.
虽多,亦奚以为？	Học nhiều thế có ích gì?
子曰：“兲身正，不令而行；兲身不正，虽令不从”。	Khổng tử nói: Bản thân chính đáng, dù không ra lệnh người dưới vẫn chấp hành. Bề trên thiếu ngay thẳng, tuy ra mệnh lệnh người dưới cũng chẳng thi hành.
子曰:“鲁卫之政，兄弟也”。	Khổng tử nói: Chính sự nước Lỗ và nước Vệ giống như hai anh em vậy.
子谓卫公子荆：善居室。	Khổng tử nói về công tử Kinh nước Vệ: Thật khéo cư xử việc nhà.
始有，曰：苟合矣‟。	Vừa mới có của ông ấy đã bảo Thế là đủ rồi‟.
少有，曰：苟完矣‟。	Vừa có thêm một ít, ông ấy lại bảo: Vậy là đầy đủ rồi‟.
富有,曰：苟美矣.	Về sau giàu có hơn, ông ấy bảo: Thế là hoàn mỹ rồi‟.
子适卫，冉有仆。	Khổng tử đến nước Vệ có Nhiễm Hữu theo hầu.
子曰：庶矣哉！	Khổng tử nói: Dân chúng đông quá!.
冉有曰：既庶矣，又何加焉？曰：“富之”曰：既富矣，又何加焉？	Nhiễm Hữu hỏi: Dân đã đông thì làm thế nào? Khổng tử đáp: Phải làm cho họ giàu lên. Nhiễm Hữu lại hỏi: Dân giàu rồi thì làm gì nữa?
曰：“教之”。	Khổng tử nói: Phải giáo hóa họ.
子曰：“苟有用我者，期月而已可也，三年有成”。	Khổng tử nói: Nếu có ai bổ dụng ta làm quản lý một nước, một năm sau đã khá rồi, ba năm nhất định thành công lớn.
子曰:善人为邦百年，亦可以胜残去杀矣。	Khổng tử nói: Người xưa bảo nếu bậc thiện nhân nối nhau trị nước thì sau một trăm năm có thể cảm hoá kẻ tàn bạo thành lương thiện, không cần hình phạt chém giết nữa.
诚哉是言也！	Lời này thật hay.
子曰：“如有王者，必世而后仁”。	Khổng tử nói: Nếu bậc thánh nhân cai trị, cũng phải đời sau mới thực hiện được nhân chính (cai trị bằng lòng nhân).
子曰：苟正兲身矣，於从政乎何有？	Khổng tử nói: Nếu sửa mình ngay thẳng thì lãnh đạo chẳng thành công ư?
不能正兲身，如正人何？	Không thể tự mình ngay thẳng thì làm sao cho người khác ngay thẳng được?
冉子退朝。	Nhiễm Hữu từ nhà họ Quý về.
子曰：何晏也？	Khổng tử nói: Sao về muộn thế?
对曰：“有政”。	Nhiễm đáp: Có việc chính sự.
子曰：兲事也？	Khổng tử nói: Đó chỉ là việc nhà họ Quý thôi.
如有政，虽不吾以，吾其与闻之。	Nếu là chính sự, ta bây giờ tuy thôi làm quan vẫn biết được.
定公问:一言而可以兴邦，有诸？	Vua Định Công hỏi: Một lời nói có thể làm đất nước phát triển phải không?
孔子对曰:言不可以若是兲几也。	Khổng tử đáp: Lời nói khó có thể đạt nhanh như vậy.
人之言曰:为君难,为臣不易‟.	Người ta từng nói Làm vua khó, làm bề tôi cũng chẳng dễ‟.
如知为君之难也,不几乎一言而兴邦乎？	Nếu biết làm vua khó thì đấy là lời nói chẳng phải có thể làm cho nước hưng thịnh được sao?
曰:一言而丧邦，有诸?	Định Công hỏi tiếp: Một lời nói có thể làm cho đất nước tan hoang, phải không?
孔子对曰:“言不可以若是兲几也”。	Khổng tử đáp: Một lời nói chưa thể tác hại nhanh như vậy được.
人之言曰:予无乐乎为君，唯其言而莫予违也‟。	Như có người từng nói Ta làm vua chưa thấy sung sướng gì, chỉ sướng khi nào ta nói ra mà không có ai dám trái lời‟.
如兲善而莫之违也,不亦善乎？	Nếu vua nói phải thì chẳng ai cãi, như thế thì tốt quá.
如不善而莫之违也,不几乎一言而丧邦乎？	Nếu vua nói sai mà chẳng ai phản đối, đó chẳng phải một lời nói có thể làm tan nát đất nước sao?
叶公问政。	Diệp Công hỏi về chính sự.
子曰：“近者悦,远者来”。	Khổng tử đáp: Người ở gần vui vẻ, người ở xa kéo tới.
子夏为莒父宰,问政。	Tử Hạ làm huyện trưởng huyện Cử Phụ, hỏi về chính sự.
子曰:无欲速,无见小利。	Khổng tử nói: Chớ vội vàng, đừng tham lợi nhỏ.
欲速则不达,见小利则大事不成。	Muốn nhanh thì không đến đích, tham lợi nhỏ thì bỏ mất việc lớn.
叶公语孔子曰:“吾党有直躬者，兲父攘羊,而子证之”。	Diệp Công nói với Khổng tử: Nơi con làm việc có một người rất ngay thẳng. Cha ăn trộm dê, con ra làm chứng.
孔子曰:“吾党之直者异於是：父为子隐，子为父隐，直在其中矣”。	Khổng tử nói: Người ngay thẳng ở nơi ta khác với chỗ ngươi. Cha che giấu cho con, con che giấu cho cha. Sự ngay thẳng cũng ở trong đó.
樊迟问仁。	Phàn Trì hỏi về đức nhân.
子曰：居处恭，执事敬,与人忠。	Khổng tử nói: Cư xử cung kính, làm việc thì nghiêm túc cẩn thận, giúp việc người thì tận lực.
虽之夷狄，不可弃也。	Dù đi tới xứ mọi rợ cũng không thể vứt bỏ đức tính này.
子贡问曰:何如斯可谓之士矣?	Tử Cống hỏi: Người thế nào đáng được gọi là kẻ sĩ?
子曰:“行已有耻，使於四方，不辱君命，可谓士矣”。	Khổng tử nói: Làm trái phải biết xấu hổ. Đi sứ nước ngoài không làm mất thể diện vua mình, như thế có thể gọi là kẻ sĩ.
曰：“敢问其次”。	Tử Cống hỏi; Xin hỏi kém kẻ sĩ một bậc gọi là người gì?
曰：“宗族称孝焉，乡党称弟焉”。	Khổng tử nói: Đó là người mà họ hàng bảo là kẻ có hiếu, làng xóm cho là biết đạo anh em.
曰:“敢问其次”。	Tử Cống lại hỏi: Kém một bậc nữa thì gọi là gì ạ?
曰:言必信，行必果，硁硁然小人哉！	Khổng tử: Đó là người có lời nói tin cậy, hành động quả quyết, cũng là những kẻ nhỏ nhen, kiến thức hẹp hòi.
抑亦可以为次矣。	Tuy vậy cũng gọi họ là kẻ sĩ kém hai bậc.
曰:今令之从政者何如?	Tử Cống hỏi tiếp: Những người đang làm quan nước Lỗ là loại người nào?
子曰:噫！	Khổng tử đáp: Ai chà!
斗筲之人，何足算也?	Những kẻ bụng dạ hẹp hòi, có gì đáng nói!
子曰：不得中行而与之,必也狂狷乎！	Khổng tử nói: Chẳng gặp được người đạt được tính trung dung để truyền đạo, đành phải tìm đến hạng cuồng giả, quyến giả.
狂者进取，狷者有所不为也.	Cuồng giả có chí tiến thủ mãnh liệt, quyến giả biết giữ lòng ngay thẳng không làm chuyện bất nghĩa.
子曰:“南人有言曰:”人而无恒,不可以作巫医‟。	Khổng tử nói: Người phương nam có câu Người không có hằng tâm thì không thể làm thầy cúng hay thầy thuốc được‟.
善夫!	Câu này rất hay!
不恒兲德,或承之羞。	Kinh Dịch lại có câu Người không có đức hạnh bền vững thì thế nào cũng có lúc chuốc lấy sự hổ thẹn‟.
子曰：不占而已矣。	Khổng tử nói tiếp: Người như thế thì làm thầy bói cũng chả được.
子曰：“君子和而不同，小人同而不和”。	Khổng tử nói: Quân tử hoà hợp nhưng không nhất thiết giống nhau, tiểu nhân a dua mà không hoà hợp.
子贡问曰：乡人皆好之，何如?	Tử Cống hỏi: Người được cả làng đều khen thì thế nào?
子曰：“未可也”。	Khổng tử nói: Chưa hẳn là người tốt.
乡人皆恶之，何如？	Tử Cống lại hỏi: Người mà cả làng đều ghét thì sao?
子曰：未可也。	Khổng tử đáp: Chưa hẳn là kẻ xấu.
不如乡人之善者好之，其不善者恶之。	Người thiện trong làng đều khen, kẻ ác đều ghét, ấy mới là người tốt.
子曰:君子易事而难说也。	Khổng tử nói: Làm việc với người quân tử thì dễ, nhưng được lòng quân tử thì khó.
说之不以道，不说也；及其使人也,器之。	Nếu lấy lòng quân tử bằng cách không chính đáng thì quân tử không thích; Người quân tử sử dụng người thì dựa theo tài năng, đạo đức mà giao việc.
小人难事而易说也。	Làm việc với kẻ tiểu nhân thì rất khó.
说之虽不以道,说也；及其使人也,求备焉.	Lấy lòng họ bằng cách không chính đáng thì rất dễ. Kẻ tiểu nhân sai khiến người khác lại đòi người ta phải hoàn hảo.
子曰：“君子泰而不骄，小人骄而不泰”。	Khổng tử nói: người quân tử rộng rãi mà không kiêu, tiểu nhân kiêu mà không rộng rãi.
子曰：“刚、毅、木、讷近仁”。	Khổng tử nói: Người có tính cương trực, chí quyết đoán, lòng mộc mạc, nói cẩn thận là gần với đạo nhân.
子路问曰:何如斯可谓之士矣?	Tử Lộ hỏi: Như thế nào được gọi là kẻ sĩ?
子曰:切切偲偲，怡怡如也,可谓士矣。	Khổng tử nói: Thân mật khuyên bảo, nhẹ nhàng vui vẻ có thể là kẻ sĩ.
朋友切切偲偲,兄弟怡怡.	Bạn hữu thân thiết, anh em vui vẻ.
子曰:“善人教民七年，亦可以即戎矣”。	Khổng tử nói: Người thiện nắm quyền giáo hóa dân bảy năm có thể bảo họ ra trận được.
子曰：“以不教民战，是谓弃之”。	Khổng tử nói: Dùng dân chưa huấn luyện đi đánh trận, là vứt bỏ họ.
宪问耻。	Nguyên Hiến hỏi về chữ sỉ (hổ thẹn).
子曰：“邦有道,谷；邦无道,谷，耻也”。	Khổng tử nói: Nước có đạo thì làm quan hưởng lộc; Nước vô đạo cũng làm quan hưởng lộc- ấy là sự hổ thẹn.
克,伐,怨,欲不行焉，可以为仁矣？	Lại hỏi: “Nếu không hiếu thắng, phô trương, oán hận, tham lam thì có thể xem là người nhân không?”.
子曰：“可以为难矣，仁则吾不知也”。	Khổng tử nói: Có thể coi là người làm được việc khó. Ta chưa biết người ấy có thể là người nhân không.
子曰：士而怀居，不足以为士矣。	Khổng tử:Kẻ chỉ biết tìm cách được an nhàn thì không thể gọi là kẻ sĩ.
子曰：邦有道，危言危行；邦无道，危行言孙。	Khổng tử nói: Nước có đạo thì lời nói ngay thẳng (dám nói lời nguy hiểm), việc làm táo bạo mà đúng đắn. Nước vô đạo thì lời nói phải nhún nhường e dè, nhưng việc làm vẫn phải giữ đúng đắn.
子曰:有德者必有言,有言者不必有德。	Khổng tử nói: Người đạo đức thì lời nói có đạo lý; Còn người nói đạo lý chưa chắc đã có đạo đức.
仁者必有勇，勇者不必有仁。	Người có nhân rất dũng cảm, nhưng người dũng cảm chưa chắc có nhân.
南宫适问於孔子曰:羿善射,奡荡舟，俱不得其死然。禹稷躬稼而有天下。	Nam Cung Quát hỏi Khổng tử: Nghệ bắn giỏi, Ngạo đánh trận thủy chiến thành thạo thế mà cuối cùng phải chết bất đắc kỳ tử. Ông Vũ ông Tắc chỉ cần cù làm ruộng mà được cả thiên hạ (?).
夫子不答。	Khổng tử không đáp.
南宫适出。	Nam Cung Quát ra ngoài.
子曰：君子哉若人！	Khổng tử nói: Quát thật là người quân tử!
尚德哉若人！	Thật là người ham chuộng đạo đức!.
子曰：“君子而不仁者有矣夫，未有小人而仁者也”。	Khổng tử nói: Người quân tử có khi lỡ làm việc bất nhân, nhưng kẻ tiểu nhân chẳng bao giờ làm được việc nhân.
子曰：爱之，能勿劳乎？	Khổng tử nói: Yêu con mà không cho con làm việc nặng nhọc ư?
忠焉，能勿诲乎？	Trung với vua mà không khuyên can vua làm cho đúng ư?
子曰:“为命,裨谌草创之,世叔讨论之,行人子羽修饰之,东里子产润色之”。	Khổng tử nói: Theo mệnh vua,Tỳ Thầm viết văn bản, đến Thế Thúc thảo luận, qua Tử Vũ tu sửa, đến phần Tử Sản trau chuốt lần cuối.
或问子产。	Có người hỏi Khổng tử về Tử Sản.
子曰:“惠人也”,问子西。曰:彼哉！彼哉!	Khổng tử nói: Người ấy rất khoan dung và yêu dân. Lại hỏi về Tử Tây, Khổng tử nói: “Người ấy… người ấy…”.
问管仲。曰:人也。夺伯氏骈邑三百，饭疏食，没齿无怨言。	Lại hỏi về Quản Trọng, Khổng tử nói: Người này ư, vua Tề lấy ấp Biền ba trăm nhà của Bá Thị thưởng công cho Quản Trọng khiến Bá Thị nghèo khổ suốt đời mà không hề oán hận.
子曰：“贫而无怨难，富而无骄易”。	Khổng tử nói: Nghèo mà không oán hận thì rất khó, giàu mà không kiêu rất dễ làm.
子曰：“孟公绰为赵魏老则优，不可以为滕薛大夫”。	Khổng tử nói: Mạnh Công Xước làm gia thần cho họ Triệu, họ Ngụy thì còn dư tài năng, nếu làm đại thần nước Đằng, nước Tiết thì chưa đủ năng lực.
子路问成人。	Tử Lộ hỏi về một người thành đạt.
子曰：“若臧武仲之知，公绰之不欲,卞庄子之勇，冉求之艺，文之以礼乐，亦可以为成人矣”曰：今之成人者何必然？	Khổng tử nói: Có trí tuệ như Tang Vũ Trọng, liêm khiết như Mạnh Công Xước, dũng cảm như Biện Trang Tử, tài nghệ như Nhiễm Cầu, lại nắm được lễ nhạc nữa thì xem như những người toàn tài. Rồi Khổng tử nói thêm: Bây giờ người thành nhân có cần như thế nữa không?
见利思义,见危授命，久要不忘平生之言，亦可以为成人矣。	Chỉ cần thấy lợi thì trước hết nghĩ đến nghĩa, gặp việc nguy nan thì sẵn sàng đối phó, lời hứa dù lâu cũng không quên, được như vậy thì xem như thành nhân rồi.
子问公叔文子於公明贾曰：信乎，夫子不言，不笑，不取乎？	Khổng tử hỏi Công Minh Giả về Công Thúc Văn Tử: Ta nghe nói Công Thúc Văn Tử không nói, không cười, không nhận cái gì của ai, điều đó đúng không?
公明贾对曰：以告者过也。	Công Minh Giả đáp: Là người ta nói quá đấy.
夫子时然后言，人不厌其言；乐然后笑，人不厌其笑；义然后取，人不厌其取子曰：兲然？	Văn Tử chỉ nói lúc đáng nói, nên người ta nghe không chán; Khi vui mới cười nên người ta thấy cười mà không chê; Của hợp nghĩa mới nhận nên người ta thấy nhận là thích hợp, không khinh bỉ. Khổng tử nói: Thật vậy ư?
岂其然乎？	Chẳng lẽ thật vậy ư?
子曰：“臧武仲以防求为后於鲁，虽曰不要君，吾不信也”。	Khổng tử nói: Tang Vũ Trọng lấy đất ấp Phòng để ép vua Lỗ cho con ông ta làm chủ ấp ấy. Tuy có người nói ông ta không ép vua nhưng riêng ta không tin.
子曰：“晋文公谲而不正，齐桓公正而不谲”。	Khổng tử nói: Tấn Văn Công xảo trá mà bất chính, Tề Hoàn Công chính trực mà không xảo trá.
子路曰：“桓公杀公子纠，召忽死之，管仲不死”。	Tử Lộ nói: Tề Hoàn Công giết em là công tử Củ, Triệu Hốt vì thế mà tự sát, còn Quản Trọng không tự sát.
